face_index,ground_truth_id,ground_truth_label,A_pred,A_confidence,A_pStock,A_pThread,A_pText,B_pred,B_confidence,B_pStock,B_pThread,B_pText,C_pred,C_confidence,C_pStock,C_pThread,C_pText,D_pred,D_confidence,D_pStock,D_pThread,D_pText,FrozenLast_pred,FrozenLast_confidence,FrozenLast_pStock,FrozenLast_pThread,FrozenLast_pText,FrozenBestV3_pred,FrozenBestV3_confidence,FrozenBestV3_pStock,FrozenBestV3_pThread,FrozenBestV3_pText,Scratch70K_pred,Scratch70K_confidence,Scratch70K_pStock,Scratch70K_pThread,Scratch70K_pText
10,2,Text,Text,0.99937207,0.00054712,0.00008085,0.99937207,Text,0.99932325,0.00062023,0.00005658,0.99932325,Text,0.99900562,0.00099311,0.00000134,0.99900562,Text,0.99894291,0.00099163,0.00006546,0.99894291,Text,0.99975449,0.00023116,0.00001439,0.99975449,Text,0.99962878,0.00034914,0.00002207,0.99962878,Text,0.99998152,0.00001818,0.00000032,0.99998152
11,2,Text,Text,0.99852979,0.00145700,0.00001314,0.99852979,Text,0.99703997,0.00292666,0.00003339,0.99703997,Text,0.99973232,0.00026756,0.00000008,0.99973232,Text,0.99522877,0.00474861,0.00002268,0.99522877,Text,0.99952066,0.00047724,0.00000208,0.99952066,Text,0.99930906,0.00068711,0.00000385,0.99930906,Text,0.99994707,0.00005250,0.00000043,0.99994707
12,2,Text,Text,0.99749374,0.00248331,0.00002301,0.99749374,Stock,0.81634891,0.81634891,0.03697543,0.14667565,Text,0.90390015,0.09584272,0.00025712,0.90390015,Text,0.99124312,0.00875138,0.00000555,0.99124312,Text,0.99667066,0.00332259,0.00000677,0.99667066,Text,0.99524575,0.00474584,0.00000836,0.99524575,Text,0.99974746,0.00025167,0.00000085,0.99974746
13,2,Text,Text,0.97309744,0.02677236,0.00013013,0.97309744,Stock,0.97319847,0.97319847,0.00013458,0.02666689,Text,0.93734640,0.06263674,0.00001690,0.93734640,Text,0.86022812,0.13949797,0.00027398,0.86022812,Text,0.99470007,0.00529245,0.00000750,0.99470007,Text,0.99070299,0.00928506,0.00001202,0.99070299,Text,0.99577808,0.00422117,0.00000072,0.99577808
14,2,Text,Text,0.99760866,0.00234492,0.00004636,0.99760866,Stock,0.82785416,0.82785416,0.03703242,0.13511346,Text,0.81977993,0.18001005,0.00021006,0.81977993,Text,0.97989845,0.02005686,0.00004466,0.97989845,Text,0.99737597,0.00261068,0.00001335,0.99737597,Text,0.99718410,0.00280325,0.00001261,0.99718410,Text,0.99829787,0.00169476,0.00000734,0.99829787
15,2,Text,Text,0.99740356,0.00257950,0.00001696,0.99740356,Stock,0.64495265,0.64495265,0.10913032,0.24591693,Text,0.90593332,0.09371926,0.00034747,0.90593332,Text,0.99022663,0.00976766,0.00000574,0.99022663,Text,0.99677026,0.00322354,0.00000625,0.99677026,Text,0.99540353,0.00458846,0.00000795,0.99540353,Text,0.99985945,0.00014008,0.00000050,0.99985945
16,2,Text,Text,0.99733377,0.00262973,0.00003649,0.99733377,Text,0.48972812,0.46928740,0.04098453,0.48972812,Text,0.94580430,0.05415553,0.00004016,0.94580430,Text,0.98310983,0.01687060,0.00001958,0.98310983,Text,0.99711239,0.00287285,0.00001470,0.99711239,Text,0.99668533,0.00330155,0.00001312,0.99668533,Text,0.99816906,0.00182193,0.00000898,0.99816906
17,2,Text,Text,0.99674052,0.00324828,0.00001116,0.99674052,Stock,0.55147725,0.55147725,0.02560884,0.42291394,Text,0.94098061,0.05889343,0.00012598,0.94098061,Text,0.99038613,0.00960771,0.00000614,0.99038613,Text,0.99703443,0.00295814,0.00000743,0.99703443,Text,0.99591416,0.00407823,0.00000756,0.99591416,Text,0.99979073,0.00020852,0.00000072,0.99979073
18,2,Text,Text,0.99715221,0.00282110,0.00002671,0.99715221,Stock,0.92996985,0.92996985,0.00365495,0.06637518,Text,0.91454411,0.08539500,0.00006094,0.91454411,Text,0.99069172,0.00930209,0.00000615,0.99069172,Text,0.99723428,0.00275589,0.00000980,0.99723428,Text,0.99552250,0.00446726,0.00001026,0.99552250,Text,0.99883682,0.00115938,0.00000377,0.99883682
19,0,Stock,Stock,0.90152317,0.90152317,0.00009415,0.09838276,Stock,0.99960428,0.99960428,0.00000139,0.00039436,Stock,0.99989319,0.99989319,0.00000029,0.00010660,Stock,0.99623495,0.99623495,0.00024575,0.00351938,Stock,0.99949729,0.99949729,0.00007454,0.00042809,Stock,0.99954587,0.99954587,0.00006852,0.00038560,Stock,0.99999714,0.99999714,0.00000002,0.00000288
20,2,Text,Text,0.99835014,0.00150089,0.00014894,0.99835014,Text,0.99982554,0.00013511,0.00003942,0.99982554,Text,0.99985373,0.00014589,0.00000038,0.99985373,Text,0.99939454,0.00055028,0.00005519,0.99939454,Text,0.99970442,0.00027994,0.00001561,0.99970442,Text,0.99959880,0.00037877,0.00002249,0.99959880,Text,0.99999630,0.00000361,0.00000003,0.99999630
21,2,Text,Text,0.99832302,0.00152724,0.00014972,0.99832302,Text,0.99982280,0.00013718,0.00004006,0.99982280,Text,0.99985850,0.00014108,0.00000036,0.99985850,Text,0.99939454,0.00055028,0.00005519,0.99939454,Text,0.99970442,0.00027994,0.00001561,0.99970442,Text,0.99959832,0.00037916,0.00002254,0.99959832,Text,0.99999642,0.00000360,0.00000003,0.99999642
22,2,Text,Text,0.99889272,0.00099293,0.00011431,0.99889272,Text,0.99975413,0.00021844,0.00002743,0.99975413,Text,0.99995661,0.00004338,0.00000004,0.99995661,Text,0.99942732,0.00053803,0.00003467,0.99942732,Text,0.99962914,0.00036002,0.00001084,0.99962914,Text,0.99949098,0.00049083,0.00001815,0.99949098,Text,0.99999070,0.00000923,0.00000011,0.99999070
23,2,Text,Text,0.99895144,0.00102872,0.00001980,0.99895144,Text,0.99995792,0.00004163,0.00000043,0.99995792,Text,0.99970847,0.00029133,0.00000018,0.99970847,Text,0.99939728,0.00058985,0.00001291,0.99939728,Text,0.99970597,0.00029171,0.00000223,0.99970597,Text,0.99959272,0.00040374,0.00000360,0.99959272,Text,0.99998057,0.00001940,0.00000001,0.99998057
24,2,Text,Text,0.99937683,0.00054398,0.00007923,0.99937683,Text,0.99957091,0.00039317,0.00003597,0.99957091,Text,0.99932826,0.00067132,0.00000050,0.99932826,Text,0.99926168,0.00068330,0.00005500,0.99926168,Text,0.99975425,0.00023134,0.00001440,0.99975425,Text,0.99959892,0.00037867,0.00002247,0.99959892,Text,0.99999630,0.00000371,0.00000002,0.99999630
25,2,Text,Text,0.99934286,0.00059346,0.00006365,0.99934286,Text,0.99970347,0.00026811,0.00002836,0.99970347,Text,0.99978334,0.00021610,0.00000055,0.99978334,Text,0.99898332,0.00099358,0.00002310,0.99898332,Text,0.99981874,0.00017535,0.00000598,0.99981874,Text,0.99958712,0.00039970,0.00001322,0.99958712,Text,0.99999058,0.00000933,0.00000012,0.99999058
26,2,Text,Text,0.99937683,0.00054393,0.00007924,0.99937683,Text,0.99956173,0.00040006,0.00003817,0.99956173,Text,0.99936491,0.00063456,0.00000052,0.99936491,Text,0.99927574,0.00066929,0.00005496,0.99927574,Text,0.99975425,0.00023133,0.00001440,0.99975425,Text,0.99959892,0.00037866,0.00002248,0.99959892,Text,0.99999416,0.00000577,0.00000002,0.99999416
27,2,Text,Text,0.99934238,0.00059833,0.00005929,0.99934238,Text,0.99936956,0.00058539,0.00004508,0.99936956,Text,0.99978858,0.00021098,0.00000047,0.99978858,Text,0.99894863,0.00102005,0.00003140,0.99894863,Text,0.99975950,0.00023085,0.00000966,0.99975950,Text,0.99960226,0.00037274,0.00002507,0.99960226,Text,0.99998975,0.00001009,0.00000014,0.99998975
28,2,Text,Text,0.99937695,0.00054384,0.00007926,0.99937695,Text,0.99972516,0.00025263,0.00002223,0.99972516,Text,0.99921036,0.00078877,0.00000080,0.99921036,Text,0.99927741,0.00066751,0.00005504,0.99927741,Text,0.99974805,0.00023734,0.00001461,0.99974805,Text,0.99959892,0.00037867,0.00002247,0.99959892,Text,0.99999630,0.00000372,0.00000002,0.99999630
29,2,Text,Text,0.99933928,0.00059899,0.00006168,0.99933928,Text,0.99960893,0.00037155,0.00001958,0.99960893,Text,0.99974412,0.00025521,0.00000064,0.99974412,Text,0.99887127,0.00109647,0.00003228,0.99887127,Text,0.99972481,0.00026428,0.00001091,0.99972481,Text,0.99960226,0.00037274,0.00002507,0.99960226,Text,0.99999070,0.00000924,0.00000011,0.99999070
30,2,Text,Text,0.99937683,0.00054398,0.00007923,0.99937683,Text,0.99972516,0.00025257,0.00002222,0.99972516,Text,0.99922287,0.00077622,0.00000090,0.99922287,Text,0.99927479,0.00067015,0.00005506,0.99927479,Text,0.99975187,0.00023361,0.00001448,0.99975187,Text,0.99959892,0.00037867,0.00002247,0.99959892,Text,0.99999607,0.00000393,0.00000002,0.99999607
31,2,Text,Text,0.99933821,0.00060411,0.00005768,0.99933821,Text,0.99936944,0.00058546,0.00004509,0.99936944,Text,0.99977785,0.00022156,0.00000054,0.99977785,Text,0.99894911,0.00101955,0.00003140,0.99894911,Text,0.99970919,0.00027346,0.00001727,0.99970919,Text,0.99960226,0.00037274,0.00002507,0.99960226,Text,0.99998975,0.00001009,0.00000014,0.99998975
32,2,Text,Text,0.99900502,0.00096633,0.00002863,0.99900502,Text,0.99629116,0.00327693,0.00043194,0.99629116,Text,0.99977714,0.00022207,0.00000076,0.99977714,Text,0.99729806,0.00267464,0.00002727,0.99729806,Text,0.99983251,0.00016275,0.00000466,0.99983251,Text,0.99956423,0.00042634,0.00000945,0.99956423,Text,0.99998975,0.00001010,0.00000014,0.99998975
33,2,Text,Text,0.99655116,0.00342463,0.00002425,0.99655116,Text,0.99516428,0.00480809,0.00002762,0.99516428,Text,0.99895883,0.00104081,0.00000032,0.99895883,Text,0.97800171,0.02196983,0.00002850,0.97800171,Text,0.99751532,0.00248022,0.00000452,0.99751532,Text,0.99711120,0.00288280,0.00000597,0.99711120,Text,0.99996781,0.00003221,0.00000001,0.99996781
34,2,Text,Text,0.99910128,0.00077987,0.00011885,0.99910128,Text,0.99745053,0.00221986,0.00032953,0.99745053,Text,0.99797803,0.00201652,0.00000551,0.99797803,Text,0.99761331,0.00230784,0.00007888,0.99761331,Text,0.99974054,0.00025183,0.00000763,0.99974054,Text,0.99954551,0.00042940,0.00002508,0.99954551,Text,0.99999416,0.00000579,0.00000006,0.99999416
35,2,Text,Text,0.99902034,0.00095220,0.00002750,0.99902034,Text,0.99528652,0.00423647,0.00047699,0.99528652,Text,0.99959165,0.00040707,0.00000134,0.99959165,Text,0.99735045,0.00262747,0.00002207,0.99735045,Text,0.99978417,0.00021115,0.00000467,0.99978417,Text,0.99957639,0.00041401,0.00000960,0.99957639,Text,0.99998975,0.00001016,0.00000013,0.99998975
36,2,Text,Text,0.99927956,0.00060362,0.00011680,0.99927956,Text,0.99719256,0.00251995,0.00028750,0.99719256,Text,0.99676043,0.00322892,0.00001063,0.99676043,Text,0.99802679,0.00186856,0.00010457,0.99802679,Text,0.99975449,0.00023114,0.00001439,0.99975449,Text,0.99965286,0.00032538,0.00002178,0.99965286,Text,0.99999523,0.00000471,0.00000007,0.99999523
37,2,Text,Text,0.99901867,0.00095592,0.00002536,0.99901867,Text,0.99629337,0.00327489,0.00043171,0.99629337,Text,0.99982005,0.00017926,0.00000066,0.99982005,Text,0.99721670,0.00275632,0.00002692,0.99721670,Text,0.99984026,0.00015617,0.00000354,0.99984026,Text,0.99956769,0.00042286,0.00000948,0.99956769,Text,0.99998975,0.00001014,0.00000014,0.99998975
38,2,Text,Text,0.99928004,0.00060311,0.00011684,0.99928004,Text,0.99825090,0.00155718,0.00019192,0.99825090,Text,0.99958068,0.00041631,0.00000302,0.99958068,Text,0.99802715,0.00186828,0.00010457,0.99802715,Text,0.99975449,0.00023112,0.00001435,0.99975449,Text,0.99965286,0.00032535,0.00002179,0.99965286,Text,0.99999630,0.00000364,0.00000003,0.99999630
39,2,Text,Text,0.99925071,0.00063245,0.00011681,0.99925071,Text,0.99853778,0.00128418,0.00017803,0.99853778,Text,0.99924362,0.00075027,0.00000612,0.99924362,Text,0.99797338,0.00195006,0.00007661,0.99797338,Text,0.99983370,0.00016166,0.00000467,0.99983370,Text,0.99958068,0.00039705,0.00002227,0.99958068,Text,0.99999642,0.00000358,0.00000003,0.99999642
40,2,Text,Text,0.99939299,0.00052685,0.00008011,0.99939299,Text,0.99989438,0.00008283,0.00002278,0.99989438,Text,0.99877089,0.00122531,0.00000376,0.99877089,Text,0.99853861,0.00136326,0.00009808,0.99853861,Text,0.99980646,0.00017481,0.00001876,0.99980646,Text,0.99964070,0.00033489,0.00002439,0.99964070,Text,0.99999499,0.00000493,0.00000008,0.99999499
41,2,Text,Text,0.99893135,0.00104543,0.00002326,0.99893135,Text,0.99996006,0.00003928,0.00000071,0.99996006,Text,0.99883896,0.00116068,0.00000037,0.99883896,Text,0.99677187,0.00320924,0.00001890,0.99677187,Text,0.99963796,0.00035945,0.00000254,0.99963796,Text,0.99953818,0.00045795,0.00000390,0.99953818,Text,0.99992061,0.00007928,0.00000008,0.99992061
42,2,Text,Text,0.99930227,0.00067416,0.00002352,0.99930227,Text,0.99952173,0.00044681,0.00003146,0.99952173,Text,0.99927646,0.00072324,0.00000025,0.99927646,Text,0.99402690,0.00595122,0.00002187,0.99402690,Text,0.99975628,0.00024051,0.00000326,0.99975628,Text,0.99957293,0.00042243,0.00000466,0.99957293,Text,0.99983132,0.00016691,0.00000176,0.99983132
43,2,Text,Text,0.99902463,0.00096087,0.00001454,0.99902463,Text,0.99982917,0.00015579,0.00001500,0.99982917,Text,0.99966931,0.00032917,0.00000154,0.99966931,Text,0.99757165,0.00241829,0.00001001,0.99757165,Text,0.99950898,0.00048894,0.00000213,0.99950898,Text,0.99878711,0.00120797,0.00000499,0.99878711,Text,0.99998629,0.00001363,0.00000013,0.99998629
44,2,Text,Text,0.99929237,0.00066279,0.00004477,0.99929237,Text,0.99979573,0.00018190,0.00002239,0.99979573,Text,0.99892777,0.00106849,0.00000370,0.99892777,Text,0.99318451,0.00675112,0.00006437,0.99318451,Text,0.99975842,0.00023810,0.00000344,0.99975842,Text,0.99965549,0.00033867,0.00000581,0.99965549,Text,0.99994600,0.00005352,0.00000046,0.99994600
45,2,Text,Text,0.99942446,0.00049270,0.00008285,0.99942446,Text,0.99996173,0.00003157,0.00000665,0.99996173,Text,0.99962270,0.00037610,0.00000116,0.99962270,Text,0.99875200,0.00116584,0.00008213,0.99875200,Text,0.99983394,0.00015354,0.00001252,0.99983394,Text,0.99959892,0.00037866,0.00002247,0.99959892,Text,0.99999571,0.00000429,0.00000002,0.99999571
46,2,Text,Text,0.99939251,0.00052749,0.00007999,0.99939251,Text,0.99996328,0.00003008,0.00000669,0.99996328,Text,0.99921906,0.00077890,0.00000204,0.99921906,Text,0.99875939,0.00115461,0.00008597,0.99875939,Text,0.99980646,0.00017474,0.00001876,0.99980646,Text,0.99960226,0.00037273,0.00002507,0.99960226,Text,0.99999571,0.00000430,0.00000002,0.99999571
47,2,Text,Text,0.99938059,0.00053716,0.00008224,0.99938059,Text,0.99996781,0.00002624,0.00000596,0.99996781,Text,0.99917370,0.00082339,0.00000282,0.99917370,Text,0.99855059,0.00135204,0.00009737,0.99855059,Text,0.99980599,0.00017525,0.00001874,0.99980599,Text,0.99960226,0.00037274,0.00002507,0.99960226,Text,0.99999535,0.00000465,0.00000003,0.99999535
48,2,Text,Text,0.99929559,0.00060422,0.00010022,0.99929559,Text,0.99997365,0.00002085,0.00000548,0.99997365,Text,0.99953854,0.00045909,0.00000234,0.99953854,Text,0.99853873,0.00136318,0.00009807,0.99853873,Text,0.99980479,0.00017661,0.00001866,0.99980479,Text,0.99961132,0.00036381,0.00002489,0.99961132,Text,0.99999440,0.00000559,0.00000005,0.99999440
49,2,Text,Text,0.99930549,0.00065988,0.00003458,0.99930549,Text,0.99978763,0.00019543,0.00001698,0.99978763,Text,0.99982244,0.00017739,0.00000018,0.99982244,Text,0.99450135,0.00546021,0.00003843,0.99450135,Text,0.99975842,0.00023811,0.00000344,0.99975842,Text,0.99957424,0.00041786,0.00000792,0.99957424,Text,0.99990761,0.00009166,0.00000068,0.99990761
50,2,Text,Text,0.99903512,0.00095044,0.00001449,0.99903512,Text,0.99985468,0.00013029,0.00001505,0.99985468,Text,0.99975985,0.00023929,0.00000086,0.99975985,Text,0.99768591,0.00230379,0.00001029,0.99768591,Text,0.99952102,0.00047695,0.00000205,0.99952102,Text,0.99903917,0.00095562,0.00000522,0.99903917,Text,0.99998462,0.00001527,0.00000016,0.99998462
51,2,Text,Text,0.99931109,0.00064416,0.00004476,0.99931109,Text,0.99957579,0.00038218,0.00004198,0.99957579,Text,0.99770242,0.00228851,0.00000908,0.99770242,Text,0.99399215,0.00593996,0.00006791,0.99399215,Text,0.99975842,0.00023810,0.00000344,0.99975842,Text,0.99964571,0.00034829,0.00000604,0.99964571,Text,0.99997032,0.00002934,0.00000031,0.99997032
52,2,Text,Text,0.99937540,0.00054102,0.00008359,0.99937540,Text,0.99974781,0.00016511,0.00008708,0.99974781,Text,0.99856681,0.00141222,0.00002103,0.99856681,Text,0.99864668,0.00126367,0.00008972,0.99864668,Text,0.99980646,0.00017476,0.00001876,0.99980646,Text,0.99965298,0.00032274,0.00002425,0.99965298,Text,0.99999094,0.00000880,0.00000021,0.99999094
53,2,Text,Text,0.99939167,0.00052821,0.00008016,0.99939167,Text,0.99986398,0.00009991,0.00003605,0.99986398,Text,0.99903929,0.00095241,0.00000837,0.99903929,Text,0.99875998,0.00115409,0.00008594,0.99875998,Text,0.99980646,0.00017489,0.00001866,0.99980646,Text,0.99960226,0.00037274,0.00002507,0.99960226,Text,0.99999166,0.00000814,0.00000018,0.99999166
54,2,Text,Text,0.99695754,0.00300929,0.00003320,0.99695754,Text,0.99996507,0.00003439,0.00000052,0.99996507,Text,0.99954361,0.00045621,0.00000017,0.99954361,Text,0.99025679,0.00971391,0.00002923,0.99025679,Text,0.99963248,0.00036412,0.00000343,0.99963248,Text,0.99910587,0.00088462,0.00000949,0.99910587,Text,0.99991357,0.00008638,0.00000002,0.99991357
55,2,Text,Text,0.99877590,0.00114708,0.00007703,0.99877590,Text,0.99944502,0.00047528,0.00007963,0.99944502,Text,0.99744898,0.00254805,0.00000298,0.99744898,Text,0.98302037,0.01683854,0.00014106,0.98302037,Text,0.99951255,0.00047844,0.00000903,0.99951255,Text,0.99849296,0.00149525,0.00001183,0.99849296,Text,0.99946171,0.00053523,0.00000305,0.99946171
56,2,Text,Text,0.99857116,0.00140135,0.00002742,0.99857116,Text,0.99986768,0.00011651,0.00001577,0.99986768,Text,0.99989223,0.00010754,0.00000024,0.99989223,Text,0.99553925,0.00442911,0.00003166,0.99553925,Text,0.99961001,0.00038600,0.00000404,0.99961001,Text,0.99909961,0.00089210,0.00000826,0.99909961,Text,0.99998820,0.00001159,0.00000021,0.99998820
57,2,Text,Text,0.99921513,0.00067148,0.00011335,0.99921513,Text,0.99976641,0.00020333,0.00003027,0.99976641,Text,0.99930763,0.00069015,0.00000218,0.99930763,Text,0.99802691,0.00186846,0.00010458,0.99802691,Text,0.99975449,0.00023117,0.00001439,0.99975449,Text,0.99959892,0.00037866,0.00002247,0.99959892,Text,0.99999523,0.00000472,0.00000004,0.99999523
58,2,Text,Text,0.99867368,0.00130369,0.00002269,0.99867368,Text,0.99921799,0.00072978,0.00005222,0.99921799,Text,0.99989617,0.00010367,0.00000016,0.99989617,Text,0.99540234,0.00456571,0.00003197,0.99540234,Text,0.99958938,0.00040797,0.00000271,0.99958938,Text,0.99942291,0.00057191,0.00000524,0.99942291,Text,0.99998808,0.00001166,0.00000021,0.99998808
59,2,Text,Text,0.99834788,0.00163505,0.00001704,0.99834788,Text,0.99932241,0.00065034,0.00002722,0.99932241,Text,0.99805379,0.00194486,0.00000142,0.99805379,Text,0.99207264,0.00791887,0.00000848,0.99207264,Text,0.99880564,0.00118962,0.00000471,0.99880564,Text,0.99791318,0.00207680,0.00000998,0.99791318,Text,0.99942100,0.00057644,0.00000255,0.99942100
60,2,Text,Text,0.99857581,0.00140449,0.00001974,0.99857581,Text,0.99949551,0.00045093,0.00005349,0.99949551,Text,0.99991345,0.00008637,0.00000016,0.99991345,Text,0.99609143,0.00388072,0.00002786,0.99609143,Text,0.99959475,0.00040239,0.00000283,0.99959475,Text,0.99938297,0.00061206,0.00000498,0.99938297,Text,0.99998975,0.00001003,0.00000024,0.99998975
61,2,Text,Text,0.99921513,0.00067148,0.00011335,0.99921513,Text,0.99972945,0.00022186,0.00004865,0.99972945,Text,0.99935573,0.00064281,0.00000140,0.99935573,Text,0.99802691,0.00186844,0.00010458,0.99802691,Text,0.99975413,0.00023148,0.00001440,0.99975413,Text,0.99959892,0.00037867,0.00002247,0.99959892,Text,0.99999607,0.00000395,0.00000004,0.99999607
62,2,Text,Text,0.99857163,0.00140091,0.00002739,0.99857163,Text,0.99990594,0.00008173,0.00001235,0.99990594,Text,0.99991333,0.00008647,0.00000016,0.99991333,Text,0.99608994,0.00388062,0.00002946,0.99608994,Text,0.99962378,0.00037109,0.00000507,0.99962378,Text,0.99943274,0.00056056,0.00000672,0.99943274,Text,0.99998820,0.00001160,0.00000021,0.99998820
63,2,Text,Text,0.99943060,0.00048973,0.00007963,0.99943060,Text,0.99968565,0.00026965,0.00004473,0.99968565,Text,0.99929821,0.00070023,0.00000159,0.99929821,Text,0.99890208,0.00104635,0.00005150,0.99890208,Text,0.99981934,0.00017209,0.00000861,0.99981934,Text,0.99960333,0.00037431,0.00002243,0.99960333,Text,0.99999464,0.00000530,0.00000003,0.99999464
64,2,Text,Text,0.99902868,0.00094405,0.00002728,0.99902868,Text,0.99997485,0.00002477,0.00000041,0.99997485,Text,0.99951530,0.00048441,0.00000031,0.99951530,Text,0.99784303,0.00213023,0.00002670,0.99784303,Text,0.99970549,0.00029125,0.00000325,0.99970549,Text,0.99959272,0.00040374,0.00000360,0.99959272,Text,0.99995780,0.00004217,0.00000002,0.99995780
65,2,Text,Text,0.99923503,0.00074715,0.00001780,0.99923503,Text,0.99950814,0.00045041,0.00004150,0.99950814,Text,0.99985838,0.00014150,0.00000015,0.99985838,Text,0.99856347,0.00141899,0.00001754,0.99856347,Text,0.99982929,0.00016600,0.00000472,0.99982929,Text,0.99966073,0.00032969,0.00000958,0.99966073,Text,0.99998999,0.00000989,0.00000010,0.99998999
66,2,Text,Text,0.99943596,0.00048346,0.00008054,0.99943596,Text,0.99984980,0.00013273,0.00001749,0.99984980,Text,0.99975818,0.00024121,0.00000064,0.99975818,Text,0.99917358,0.00078161,0.00004476,0.99917358,Text,0.99981934,0.00017207,0.00000861,0.99981934,Text,0.99964976,0.00032846,0.00002181,0.99964976,Text,0.99999642,0.00000357,0.00000003,0.99999642
67,2,Text,Text,0.99943334,0.00048695,0.00007966,0.99943334,Text,0.99983180,0.00015390,0.00001430,0.99983180,Text,0.99980348,0.00019560,0.00000094,0.99980348,Text,0.99919647,0.00076095,0.00004263,0.99919647,Text,0.99981934,0.00017211,0.00000861,0.99981934,Text,0.99965298,0.00032527,0.00002178,0.99965298,Text,0.99999642,0.00000357,0.00000003,0.99999642
