stem,ours_lbl_0,ours_lbl_1,ours_lbl_2,ours_lbl_3,ours_lbl_4,ours_lbl_5,ours_lbl_6,ours_lbl_7,ours_lbl_8,ours_lbl_9,ours_lbl_10,ours_lbl_11,ours_lbl_12,ours_lbl_13,ours_lbl_14,ours_lbl_16,ours_lbl_17,ours_lbl_18,ours_lbl_19,ours_lbl_20,ours_lbl_21,ours_lbl_22,ours_lbl_23,ours_lbl_24,auth_lbl_0,auth_lbl_1,auth_lbl_2,auth_lbl_3,auth_lbl_4,auth_lbl_5,auth_lbl_6,auth_lbl_7,auth_lbl_8,auth_lbl_9,auth_lbl_10,auth_lbl_11,auth_lbl_12,auth_lbl_13,auth_lbl_14,auth_lbl_16,auth_lbl_17,auth_lbl_18,auth_lbl_19,auth_lbl_20,auth_lbl_21,auth_lbl_22,auth_lbl_23,auth_lbl_24
00000069,31,3,0,0,3,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,26,3,0,0,3,0,2,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
00000071,11,3,2,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,10,3,2,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0
00000079,8,0,0,4,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,2,0,7,0,0,4,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,2,0
00000081,11,12,0,0,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,10,12,0,0,3,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0
00000085,14,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,12,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0
00000097,17,0,0,0,0,6,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,6,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00000098,13,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,11,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0
00000106,27,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,3,0,0,23,0,0,0,0,0,0,3,0,0,0,4,0,0,0,1,0,0,0,0,0,3,0,0
00000112,20,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,17,0,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
00000114,17,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,4,0,0,0,0,16,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,4,0,0,0,0
00000116,9,0,0,4,0,6,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,4,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
00000119,11,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0
00000120,14,0,0,0,0,0,0,0,0,0,1,0,4,0,0,1,0,0,0,0,0,3,0,0,12,0,0,0,0,0,0,0,0,0,2,0,5,0,0,1,0,0,0,0,0,3,0,0
00000124,15,0,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,2,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
00000126,36,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,35,0,0,0,0,0,0,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0
00000128,17,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,2,1,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,2,2,0,0,0,0,0,0
00000129,21,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,20,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0
00000146,19,0,0,0,3,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,16,0,0,0,3,0,0,0,0,0,0,0,0,8,7,0,0,0,0,0,0,0,0,0
00000149,14,0,0,0,3,0,2,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,2,0,12,0,0,0,3,0,3,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,2,0
00000159,12,0,0,4,0,0,0,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,11,0,0,4,0,0,0,3,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0
00000168,13,0,0,0,3,0,0,2,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,12,0,0,0,3,0,0,3,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0
00000172,23,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,22,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
00000188,13,0,0,0,3,6,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,11,0,0,0,3,6,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
00000201,13,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,12,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0
00000207,13,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
00000218,22,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,4,0,0,0,0,20,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,4,0,0,0,0
00000224,13,0,0,4,0,0,3,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,11,0,0,4,0,0,4,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
00000231,15,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,14,3,2,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0
00000233,18,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,17,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0
00000237,8,0,0,0,0,0,0,3,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,3,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0
00000251,31,0,0,0,0,0,0,3,0,0,1,0,5,0,0,0,0,0,0,0,0,0,4,0,30,0,0,0,0,0,0,3,0,0,2,0,5,0,0,0,0,0,0,0,0,0,4,0
00000254,17,0,0,0,0,6,1,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,16,0,0,0,0,6,2,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0
00000257,20,3,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,19,3,0,0,0,0,2,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0
00000258,12,0,0,0,0,0,0,2,0,0,0,4,5,0,0,1,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,3,0,0,0,4,5,0,0,1,0,0,0,0,0,0,0,0
00000260,14,0,0,4,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,13,0,0,4,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0
00000264,8,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,7,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,2,0
00000275,24,0,0,0,4,6,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,22,0,0,0,6,6,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0
00000288,18,0,0,0,0,0,0,0,0,0,0,0,9,0,0,1,0,0,0,0,0,0,2,0,17,0,0,0,0,0,0,0,0,0,0,0,10,0,0,1,0,0,0,0,0,0,2,0
00000289,18,0,0,14,0,0,0,0,3,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,14,0,0,16,0,0,0,0,4,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0
00000298,25,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,7,0,0,0,0,22,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,8,0,0,0,0
00000322,9,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,8,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0
00000333,17,0,0,4,0,0,2,0,0,0,0,4,0,0,6,0,0,0,0,0,0,0,0,0,16,0,0,4,0,0,2,0,0,0,0,4,0,0,7,0,0,0,0,0,0,0,0,0
00000344,29,0,0,0,0,0,0,4,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,6,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0
00000346,15,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,4,0,0,0,0,0,14,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,4,0,0,0,0,0
00000352,13,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
00000355,11,0,0,4,3,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,4,3,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0
00000366,17,1,0,0,0,0,0,0,0,0,0,0,5,0,6,0,0,0,0,0,0,0,0,0,14,3,0,0,0,0,0,0,0,0,0,0,5,0,7,0,0,0,0,0,0,0,0,0
00000376,18,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,1,3,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,2,0,0,0,7,0,1,3,0,0,0,0,0,0
00000377,18,0,0,11,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,11,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
00000391,19,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,4,0,0,0,0,0,18,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,4,0,0,0,0,0
00000392,29,0,0,5,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,4,4,0,0,0,27,0,0,5,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,4,5,0,0,0
00000406,14,0,0,0,0,0,0,2,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,3,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0
00000407,10,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,9,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
00000415,19,0,0,4,0,0,2,0,0,0,0,0,0,0,12,0,0,0,0,0,10,0,0,0,17,0,0,4,0,0,2,0,0,0,0,0,0,0,14,0,0,0,0,0,10,0,0,0
00000416,13,3,0,0,3,6,0,3,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,12,3,0,0,3,6,0,3,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0
00000420,28,0,0,0,0,6,0,0,1,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,26,0,0,0,0,6,0,0,2,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0
00000425,20,0,0,0,0,12,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,2,0,18,0,0,0,0,12,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,2,0
00000432,22,0,2,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,21,0,2,0,0,0,2,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0
00000434,8,0,0,4,0,0,0,3,0,0,0,0,0,0,7,0,0,1,0,0,0,0,0,0,7,0,0,4,0,0,0,3,0,0,0,0,0,0,7,0,0,2,0,0,0,0,0,0
00000445,10,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,9,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,2,0
00000452,17,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,16,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
00000458,13,0,0,0,0,0,0,0,1,0,1,0,0,0,6,0,0,0,4,0,0,0,0,0,10,0,0,0,0,0,0,0,2,0,2,0,0,0,7,0,0,0,4,0,0,0,0,0
00000471,21,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,19,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
00000485,33,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,2,4,0,0,3,0,0,30,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,2,4,0,0,3,0,0
00000490,13,0,0,4,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,3,0,0,11,0,0,4,0,0,0,0,0,0,0,0,0,4,7,0,0,0,0,0,0,3,0,0
00000493,19,1,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,5,0,0,0,15,3,0,0,0,0,0,0,0,0,0,0,0,4,7,0,0,0,0,0,5,0,0,0
00000501,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0
00000504,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
00000517,18,0,0,0,3,6,0,0,0,0,1,0,5,0,0,0,0,3,0,0,0,0,0,0,15,0,0,0,3,6,0,0,0,0,2,0,5,0,0,0,0,5,0,0,0,0,0,0
00000526,14,0,0,0,0,0,0,3,0,0,0,0,0,0,6,0,0,0,4,0,0,0,0,0,13,0,0,0,0,0,0,3,0,0,0,0,0,0,7,0,0,0,4,0,0,0,0,0
00000529,11,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,1,0,4,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,1,0,4,0,0,0,0,0
00000543,10,0,0,0,0,0,0,0,0,0,1,4,0,3,0,0,0,0,0,0,5,0,0,0,8,0,0,0,0,0,0,0,0,0,2,4,0,4,0,0,0,0,0,0,5,0,0,0
00000549,14,0,0,0,0,0,0,0,0,0,0,4,0,0,6,0,0,0,0,0,0,0,2,0,13,0,0,0,0,0,0,0,0,0,0,4,0,0,7,0,0,0,0,0,0,0,2,0
00000553,24,0,2,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,23,0,2,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0
00000555,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0
00000560,11,0,0,0,0,6,0,0,0,0,0,4,0,3,0,0,0,2,0,0,0,0,0,0,10,0,0,0,0,6,0,0,0,0,0,4,0,4,0,0,0,2,0,0,0,0,0,0
00000563,21,5,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,4,0,0,3,0,0,20,5,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,4,0,0,3,0,0
00000575,14,0,0,4,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,4,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
00000594,11,0,0,0,0,6,0,3,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,10,0,0,0,0,6,0,3,0,0,2,0,0,0,0,0,0,0,0,0,5,0,0,0
00000599,14,0,0,0,0,0,2,0,0,0,0,0,0,3,0,1,0,1,0,0,0,3,0,0,12,0,0,0,0,0,2,0,0,0,0,0,0,4,0,1,0,2,0,0,0,3,0,0
00000607,12,0,2,0,0,0,0,2,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,9,0,2,0,0,0,0,3,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0
00000623,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,15,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,5,0,0,0
00000624,16,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,4,0,15,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,4,0
00000625,12,9,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,11,9,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
00000632,10,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,9,0,0,8,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
00000637,24,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,23,0,0,0,0,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
00000638,14,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,13,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0
00000640,16,0,0,0,0,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,5,0,0,0,15,0,0,0,0,6,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,0,0,0
00000675,14,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,4,0,0,0,0,12,0,0,0,0,0,0,0,0,0,2,0,5,0,0,0,0,0,0,4,0,0,0,0
00000679,14,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,2,0,13,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5,0,2,0
00000680,21,3,2,4,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,19,3,2,4,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0
00000681,14,0,2,0,3,0,0,0,0,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0,12,0,2,0,3,0,0,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0
00000687,20,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,3,2,0,19,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,3,2,0
00000690,17,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,16,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
00000694,14,3,0,0,3,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,13,3,0,0,3,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0
00000699,16,0,0,4,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,14,0,0,4,0,0,0,0,0,0,2,0,0,0,7,0,0,0,0,0,0,0,0,0
00000701,12,0,0,0,0,0,2,2,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,3,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
00000707,13,3,0,0,3,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,5,0,0,0,12,3,0,0,3,6,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,0,0,0
00000715,16,3,0,0,0,0,0,3,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,15,3,0,0,0,0,0,3,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0
00000717,28,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,27,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0
00000727,31,0,2,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,30,0,2,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0
00000732,9,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,4,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,4,0,0,0,0,0
00000740,15,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,2,0,4,0,0,0,0,14,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,2,0,4,0,0,0,0
00000742,20,0,0,0,3,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,3,0,2,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0
00000748,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0
00000749,9,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,1,1,0,0,0,3,0,0,7,0,0,0,0,0,0,0,0,0,2,0,5,0,0,0,1,2,0,0,0,3,0,0
00000758,24,0,0,0,0,0,0,0,1,0,0,4,0,3,7,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,2,0,0,4,0,4,7,0,0,0,0,0,0,0,0,0
00000771,21,0,0,4,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,4,0,0,0,0,20,0,0,4,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,4,0,0,0,0
00000795,24,0,0,0,3,0,2,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,2,0,23,0,0,0,3,0,2,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,2,0
00000796,16,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
00000808,22,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,2,0,21,3,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,2,0
00000812,12,0,0,0,0,6,0,0,0,0,0,4,0,3,0,0,1,0,0,0,0,0,0,0,11,0,0,0,0,6,0,0,0,0,0,4,0,4,0,0,1,0,0,0,0,0,0,0
00000819,15,0,0,0,3,6,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,3,6,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
00000823,37,0,2,0,0,0,0,2,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,34,0,2,0,0,0,0,3,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
00000828,23,0,0,0,0,0,0,0,2,0,0,0,4,0,0,1,0,0,0,4,0,0,0,0,22,0,0,0,0,0,0,0,2,0,0,0,5,0,0,1,0,0,0,4,0,0,0,0
00000831,24,6,0,0,0,0,0,0,0,0,0,4,0,0,6,0,0,0,0,0,0,0,0,0,23,6,0,0,0,0,0,0,0,0,0,4,0,0,7,0,0,0,0,0,0,0,0,0
00000836,20,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,4,0,0,2,0,18,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,4,0,0,2,0
00000840,23,0,0,0,3,0,0,0,1,2,0,0,0,3,6,0,0,0,0,0,0,0,0,0,19,0,0,0,3,0,0,0,2,3,0,0,0,4,7,0,0,0,0,0,0,0,0,0
00000842,16,0,0,0,0,6,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,6,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00000869,24,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,3,0,0,23,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,3,0,0
