face_index,predicted_class,predicted_class_name,predicted_probability
181,0,stock,0.853952527
182,0,stock,0.5884504318
183,0,stock,0.8090193868
184,0,stock,0.8561891913
185,0,stock,0.5972911716
186,0,stock,0.8304992318
187,0,stock,0.8700829148
188,0,stock,0.5992233157
189,0,stock,0.8398975134
190,0,stock,0.8835024834
191,0,stock,0.8379204273
192,0,stock,0.9682822824
193,0,stock,0.894882679
194,0,stock,0.5988125801
195,0,stock,0.7710717916
196,0,stock,0.8424543738
197,0,stock,0.5406215787
198,0,stock,0.7565053701
199,0,stock,0.7174319625
200,0,stock,0.5982650518
201,0,stock,0.7745481133
202,0,stock,0.8483697772
203,0,stock,0.556938231
204,0,stock,0.7697076201
205,0,stock,0.7247303128
206,0,stock,0.5980213881
207,0,stock,0.7760789394
208,0,stock,0.8539731503
209,0,stock,0.5979688764
210,0,stock,0.776979804
211,0,stock,0.8557242751
212,0,stock,0.597936511
213,0,stock,0.7775464058
214,0,stock,0.8568302989
215,0,stock,0.5979167223
216,0,stock,0.7784392834
217,0,stock,0.8575509787
218,0,stock,0.5979053974
219,0,stock,0.780364871
220,0,stock,0.8580283523
221,0,stock,0.597899437
222,0,stock,0.7830934525
223,0,stock,0.8580018878
224,0,stock,0.5978943706
225,0,stock,0.7860022187
226,0,stock,0.8577594757
227,0,stock,0.597890079
228,0,stock,0.7893224359
229,0,stock,0.8577382565
230,0,stock,0.5978829265
231,0,stock,0.7926383615
232,0,stock,0.8527445793
233,0,stock,0.5270619988
234,0,stock,0.7403609157
235,0,stock,0.8120930195
236,0,stock,0.597858727
237,0,stock,0.7968531251
238,0,stock,0.8535854816
239,0,stock,0.5278186202
240,0,stock,0.7403882742
241,0,stock,0.8149131536
242,0,stock,0.5978221297
243,0,stock,0.7999662757
244,0,stock,0.8590998054
245,0,stock,0.5966465473
246,0,stock,0.7917998433
247,0,stock,0.7488331199
248,0,stock,0.5996828675
249,0,stock,0.8023506403
250,0,stock,0.848625958
251,0,stock,0.6648824811
252,0,stock,0.8395786285
253,0,stock,0.8516561985
254,0,stock,0.6646211743
255,0,stock,0.8405455947
256,0,stock,0.8520399928
257,0,stock,0.6660450697
258,0,stock,0.8452273011
259,0,stock,0.8484844565
260,0,stock,0.6659901142
261,0,stock,0.8483303785
262,0,stock,0.8600364327
263,0,stock,0.6659893394
264,0,stock,0.848331809
265,0,stock,0.8526418209
266,0,stock,0.6310794353
267,0,stock,0.8085356951
268,0,stock,0.8514573574
269,0,stock,0.8618359566
270,0,stock,0.93271631
271,0,stock,0.9950014949
272,0,stock,0.9907593131
273,0,stock,0.9836037755
274,0,stock,0.9961953759
275,0,stock,0.6499703526
276,0,stock,0.8279692531
277,0,stock,0.8475239277
278,0,stock,0.6431632042
279,0,stock,0.8332813978
280,0,stock,0.8369415998
281,0,stock,0.6422052979
282,0,stock,0.8320366144
283,0,stock,0.8378038406
284,0,stock,0.6328220963
285,0,stock,0.8279362917
286,0,stock,0.8395545483
287,0,stock,0.6366868019
288,0,stock,0.8275923133
289,0,stock,0.8443530798
290,0,stock,0.624138236
291,0,stock,0.826525569
292,0,stock,0.8399139643
293,0,stock,0.5679222345
294,0,stock,0.812556088
295,0,stock,0.8455876112
296,0,stock,0.6110535264
297,0,stock,0.7444683313
298,0,stock,0.8455865979
299,0,stock,0.6054756045
300,0,stock,0.7039399743
301,0,stock,0.6336668134
302,0,stock,0.6180480719
303,0,stock,0.6998153329
304,0,stock,0.7476053238
305,0,stock,0.6820289493
306,0,stock,0.7141197324
307,0,stock,0.727224946
308,0,stock,0.7066927552
309,0,stock,0.7125092149
310,0,stock,0.7528132796
311,0,stock,0.6872019768
312,0,stock,0.7041066885
313,0,stock,0.7494453192
314,0,stock,0.7033132911
315,0,stock,0.7207442522
316,0,stock,0.752189815
317,0,stock,0.7409235239
318,0,stock,0.7471696734
319,0,stock,0.7524957657
320,0,stock,0.7171052098
321,0,stock,0.7204491496
322,0,stock,0.7814169526
323,0,stock,0.7017661333
324,0,stock,0.7461633086
325,0,stock,0.7521861196
326,0,stock,0.6870816946
327,0,stock,0.713835299
328,0,stock,0.7651796341
329,0,stock,0.6166247129
330,0,stock,0.7118048072
331,0,stock,0.7466349006
332,0,stock,0.5794501305
333,0,stock,0.628246069
334,0,stock,0.7446950674
335,0,stock,0.5798764825
336,0,stock,0.5564584732
337,0,stock,0.699041605
338,0,stock,0.5809537768
339,0,stock,0.6156669259
340,0,stock,0.6990161538
341,0,stock,0.5334347486
342,0,stock,0.5131903291
343,0,stock,0.6735028028
344,1,thread,0.528909564
345,0,stock,0.6741322279
346,0,stock,0.513378799
347,1,thread,0.5585301518
348,0,stock,0.6460910439
349,0,stock,0.7620874047
350,1,thread,0.5166061521
351,0,stock,0.7969770432
352,0,stock,0.7623678446
353,0,stock,0.9621037245
354,0,stock,0.9677032232
355,0,stock,0.9788845181
356,0,stock,0.8313137293
357,0,stock,0.9152274728
358,0,stock,0.9923063517
359,0,stock,0.9616077542
360,0,stock,0.9967888594
361,0,stock,0.9625858068
362,0,stock,0.8666383624
363,0,stock,0.7415621877
364,0,stock,0.9236667156
365,0,stock,1
366,0,stock,0.9963650107
367,0,stock,0.9993889332
368,0,stock,0.9997771382
369,0,stock,0.9998412132
370,0,stock,0.9999625087
371,0,stock,0.9999594688
372,0,stock,0.9997558594
373,0,stock,0.9904354215
374,0,stock,0.9998966455
375,0,stock,0.9905799031
376,0,stock,0.9998499155
377,0,stock,0.9999344349
378,0,stock,0.9993893504
379,0,stock,0.9999706745
380,0,stock,1
381,0,stock,1
382,0,stock,1
383,0,stock,1
384,0,stock,1
385,0,stock,1
386,0,stock,1
387,0,stock,1
388,0,stock,1
389,0,stock,1
390,0,stock,1
391,0,stock,1
392,0,stock,1
393,0,stock,1
394,0,stock,1
395,0,stock,1
396,0,stock,1
397,0,stock,1
398,0,stock,1
399,0,stock,1
400,0,stock,1
401,0,stock,1
402,0,stock,1
403,0,stock,1
404,0,stock,1
405,0,stock,1
406,0,stock,1
407,0,stock,1
408,0,stock,1
409,0,stock,1
410,0,stock,1
411,0,stock,1
412,0,stock,1
413,0,stock,1
414,0,stock,1
415,0,stock,1
416,0,stock,1
417,0,stock,1
418,0,stock,1
419,0,stock,1
420,0,stock,1
421,0,stock,1
422,0,stock,1
423,0,stock,1
424,0,stock,1
425,0,stock,1
426,0,stock,1
427,0,stock,1
428,0,stock,1
429,0,stock,1
430,0,stock,1
431,0,stock,1
432,0,stock,1
433,0,stock,1
434,0,stock,1
435,0,stock,1
436,0,stock,1
437,0,stock,1
438,0,stock,1
439,0,stock,1
440,0,stock,1
441,0,stock,1
442,0,stock,1
443,0,stock,1
444,0,stock,1
445,0,stock,1
446,0,stock,1
447,0,stock,1
448,0,stock,1
449,0,stock,1
450,0,stock,1
451,0,stock,1
452,0,stock,1
453,0,stock,1
454,0,stock,1
455,0,stock,1
456,0,stock,1
457,0,stock,1
458,0,stock,1
459,0,stock,0.9999960065
460,0,stock,0.9999045134
461,0,stock,0.9999607205
462,0,stock,0.9419421554
463,0,stock,0.9999188185
464,0,stock,0.9998716116
465,0,stock,0.9756444693
466,0,stock,0.9999599457
467,0,stock,0.9999946356
468,0,stock,0.9658762217
469,0,stock,0.9630586505
470,0,stock,0.9999607801
471,0,stock,0.9999910593
472,0,stock,0.9999989271
473,0,stock,0.9660106897
474,0,stock,0.9633908272
475,0,stock,0.9999932647
476,0,stock,0.9999061823
477,0,stock,0.5809742808
478,0,stock,0.8717491031
479,0,stock,0.5992931128
480,0,stock,0.9999921322
481,0,stock,1
482,0,stock,1
483,0,stock,1
484,0,stock,1
485,0,stock,1
486,0,stock,1
487,0,stock,1
488,0,stock,1
489,0,stock,1
490,0,stock,1
491,0,stock,1
492,0,stock,1
493,0,stock,1
494,0,stock,1
495,0,stock,1
496,0,stock,1
497,0,stock,0.9999741316
498,0,stock,1
499,0,stock,0.9999966621
500,0,stock,0.7475351691
501,0,stock,0.9994133115
