face_index,reference_original_class,corrected_ground_truth,known_original_error,model_A_class,model_A_confidence,model_A_prob_stock,model_A_prob_thread,model_A_prob_text,model_A_correct,model_B_class,model_B_confidence,model_B_prob_stock,model_B_prob_thread,model_B_prob_text,model_B_correct,model_C_class,model_C_confidence,model_C_prob_stock,model_C_prob_thread,model_C_prob_text,model_C_correct
45,Text,Text,0,Text,0.99942446,0.00049270,0.00008285,0.99942446,1,Text,0.99996173,0.00003157,0.00000665,0.99996173,1,Text,0.99962270,0.00037610,0.00000116,0.99962270,1
46,Text,Text,0,Text,0.99939251,0.00052749,0.00007999,0.99939251,1,Text,0.99996328,0.00003008,0.00000669,0.99996328,1,Text,0.99921906,0.00077890,0.00000204,0.99921906,1
47,Text,Text,0,Text,0.99938059,0.00053716,0.00008224,0.99938059,1,Text,0.99996781,0.00002624,0.00000596,0.99996781,1,Text,0.99917370,0.00082339,0.00000282,0.99917370,1
48,Text,Text,0,Text,0.99929559,0.00060422,0.00010022,0.99929559,1,Text,0.99997365,0.00002085,0.00000548,0.99997365,1,Text,0.99953854,0.00045909,0.00000234,0.99953854,1
49,Text,Text,0,Text,0.99930549,0.00065988,0.00003458,0.99930549,1,Text,0.99978763,0.00019543,0.00001698,0.99978763,1,Text,0.99982244,0.00017739,0.00000018,0.99982244,1
50,Text,Text,0,Text,0.99903512,0.00095044,0.00001449,0.99903512,1,Text,0.99985468,0.00013029,0.00001505,0.99985468,1,Text,0.99975985,0.00023929,0.00000086,0.99975985,1
51,Text,Text,0,Text,0.99931109,0.00064416,0.00004476,0.99931109,1,Text,0.99957579,0.00038218,0.00004198,0.99957579,1,Text,0.99770242,0.00228851,0.00000908,0.99770242,1
52,Text,Text,0,Text,0.99937540,0.00054102,0.00008359,0.99937540,1,Text,0.99974781,0.00016511,0.00008708,0.99974781,1,Text,0.99856681,0.00141222,0.00002103,0.99856681,1
53,Text,Text,0,Text,0.99939167,0.00052821,0.00008016,0.99939167,1,Text,0.99986398,0.00009991,0.00003605,0.99986398,1,Text,0.99903929,0.00095241,0.00000837,0.99903929,1
54,Text,Text,0,Text,0.99695754,0.00300929,0.00003320,0.99695754,1,Text,0.99996507,0.00003439,0.00000052,0.99996507,1,Text,0.99954361,0.00045621,0.00000017,0.99954361,1
55,Text,Text,0,Text,0.99877590,0.00114708,0.00007703,0.99877590,1,Text,0.99944502,0.00047528,0.00007963,0.99944502,1,Text,0.99744898,0.00254805,0.00000298,0.99744898,1
56,Text,Text,0,Text,0.99857116,0.00140135,0.00002742,0.99857116,1,Text,0.99986768,0.00011651,0.00001577,0.99986768,1,Text,0.99989223,0.00010754,0.00000024,0.99989223,1
57,Text,Text,0,Text,0.99921513,0.00067148,0.00011335,0.99921513,1,Text,0.99976641,0.00020333,0.00003027,0.99976641,1,Text,0.99930763,0.00069015,0.00000218,0.99930763,1
58,Text,Text,0,Text,0.99867368,0.00130369,0.00002269,0.99867368,1,Text,0.99921799,0.00072978,0.00005222,0.99921799,1,Text,0.99989617,0.00010367,0.00000016,0.99989617,1
59,Text,Text,0,Text,0.99834788,0.00163505,0.00001704,0.99834788,1,Text,0.99932241,0.00065034,0.00002722,0.99932241,1,Text,0.99805379,0.00194486,0.00000142,0.99805379,1
60,Text,Text,0,Text,0.99857581,0.00140449,0.00001974,0.99857581,1,Text,0.99949551,0.00045093,0.00005349,0.99949551,1,Text,0.99991345,0.00008637,0.00000016,0.99991345,1
61,Text,Text,0,Text,0.99921513,0.00067148,0.00011335,0.99921513,1,Text,0.99972945,0.00022186,0.00004865,0.99972945,1,Text,0.99935573,0.00064281,0.00000140,0.99935573,1
62,Text,Text,0,Text,0.99857163,0.00140091,0.00002739,0.99857163,1,Text,0.99990594,0.00008173,0.00001235,0.99990594,1,Text,0.99991333,0.00008647,0.00000016,0.99991333,1
63,Text,Text,0,Text,0.99943060,0.00048973,0.00007963,0.99943060,1,Text,0.99968565,0.00026965,0.00004473,0.99968565,1,Text,0.99929821,0.00070023,0.00000159,0.99929821,1
64,Text,Text,0,Text,0.99902868,0.00094405,0.00002728,0.99902868,1,Text,0.99997485,0.00002477,0.00000041,0.99997485,1,Text,0.99951530,0.00048441,0.00000031,0.99951530,1
65,Text,Text,0,Text,0.99923503,0.00074715,0.00001780,0.99923503,1,Text,0.99950814,0.00045041,0.00004150,0.99950814,1,Text,0.99985838,0.00014150,0.00000015,0.99985838,1
66,Text,Text,0,Text,0.99943596,0.00048346,0.00008054,0.99943596,1,Text,0.99984980,0.00013273,0.00001749,0.99984980,1,Text,0.99975818,0.00024121,0.00000064,0.99975818,1
67,Text,Text,0,Text,0.99943334,0.00048695,0.00007966,0.99943334,1,Text,0.99983180,0.00015390,0.00001430,0.99983180,1,Text,0.99980348,0.00019560,0.00000094,0.99980348,1
68,Text,Text,0,Text,0.99938285,0.00059496,0.00002222,0.99938285,1,Text,0.99976116,0.00021085,0.00002800,0.99976116,1,Text,0.99990916,0.00009062,0.00000021,0.99990916,1
69,Text,Text,0,Text,0.99944156,0.00047509,0.00008335,0.99944156,1,Text,0.99985325,0.00012862,0.00001808,0.99985325,1,Text,0.99977952,0.00021957,0.00000086,0.99977952,1
70,Text,Text,0,Text,0.99943334,0.00048698,0.00007965,0.99943334,1,Text,0.99983799,0.00014396,0.00001804,0.99983799,1,Text,0.99979335,0.00020597,0.00000071,0.99979335,1
71,Text,Text,0,Text,0.99927872,0.00070009,0.00002122,0.99927872,1,Text,0.99974960,0.00022166,0.00002876,0.99974960,1,Text,0.99991345,0.00008638,0.00000016,0.99991345,1
72,Text,Text,0,Text,0.99943084,0.00048948,0.00007963,0.99943084,1,Text,0.99962997,0.00030252,0.00006746,0.99962997,1,Text,0.99964738,0.00035189,0.00000077,0.99964738,1
73,Text,Text,0,Text,0.99935395,0.00062357,0.00002252,0.99935395,1,Text,0.99979502,0.00017715,0.00002787,0.99979502,1,Text,0.99991333,0.00008649,0.00000016,0.99991333,1
74,Text,Text,0,Text,0.99943858,0.00047958,0.00008180,0.99943858,1,Text,0.99987090,0.00010985,0.00001921,0.99987090,1,Text,0.99982411,0.00017511,0.00000078,0.99982411,1
75,Text,Text,0,Text,0.99943334,0.00048695,0.00007965,0.99943334,1,Text,0.99986553,0.00011537,0.00001903,0.99986553,1,Text,0.99981886,0.00018023,0.00000092,0.99981886,1
76,Text,Text,0,Text,0.99920636,0.00077436,0.00001929,0.99920636,1,Text,0.99970740,0.00025907,0.00003355,0.99970740,1,Text,0.99986804,0.00013176,0.00000015,0.99986804,1
77,Text,Text,0,Text,0.99831933,0.00166833,0.00001236,0.99831933,1,Text,0.98190618,0.01287461,0.00521926,0.98190618,1,Text,0.99259275,0.00739817,0.00000909,0.99259275,1
78,Text,Text,0,Text,0.96511471,0.03474861,0.00013670,0.96511471,1,Text,0.90065974,0.09916393,0.00017627,0.90065974,1,Text,0.99476755,0.00523034,0.00000214,0.99476755,1
79,Text,Text,0,Text,0.99928051,0.00060283,0.00011666,0.99928051,1,Text,0.97452962,0.01510537,0.01036502,0.97452962,1,Text,0.98559988,0.01435654,0.00004362,0.98559988,1
80,Text,Text,0,Text,0.99762017,0.00235339,0.00002637,0.99762017,1,Text,0.96734983,0.01582654,0.01682367,0.96734983,1,Text,0.99371934,0.00627587,0.00000481,0.99371934,1
81,Text,Text,0,Text,0.99745959,0.00249638,0.00004410,0.99745959,1,Text,0.96230280,0.03651199,0.00118527,0.96230280,1,Text,0.98958349,0.01041326,0.00000327,0.98958349,1
82,Text,Text,0,Text,0.99753165,0.00244594,0.00002234,0.99753165,1,Text,0.93229610,0.06512859,0.00257538,0.93229610,1,Text,0.99350727,0.00648721,0.00000555,0.99350727,1
83,Text,Text,0,Text,0.99710733,0.00282896,0.00006378,0.99710733,1,Text,0.93695104,0.05880857,0.00424041,0.93695104,1,Text,0.98674482,0.01324960,0.00000556,0.98674482,1
84,Text,Text,0,Text,0.99882072,0.00109013,0.00008916,0.99882072,1,Text,0.99994004,0.00005607,0.00000390,0.99994004,1,Text,0.99990129,0.00009862,0.00000004,0.99990129,1
85,Stock,Stock,0,Stock,0.99908948,0.99908948,0.00000060,0.00090991,1,Stock,0.99989057,0.99989057,0.00000002,0.00010948,1,Stock,0.99997008,0.99997008,0.00000000,0.00002996,1
86,Text,Text,0,Text,0.99908650,0.00082267,0.00009082,0.99908650,1,Text,0.99987185,0.00011193,0.00001617,0.99987185,1,Text,0.99994886,0.00005105,0.00000002,0.99994886,1
87,Text,Text,0,Text,0.99916828,0.00067648,0.00015524,0.99916828,1,Text,0.99994111,0.00005243,0.00000644,0.99994111,1,Text,0.99993169,0.00006824,0.00000010,0.99993169,1
88,Text,Text,0,Text,0.99919528,0.00077706,0.00002765,0.99919528,1,Text,0.99995232,0.00004700,0.00000073,0.99995232,1,Text,0.99870276,0.00129688,0.00000032,0.99870276,1
89,Text,Text,0,Text,0.99920183,0.00072969,0.00006847,0.99920183,1,Text,0.99978358,0.00019270,0.00002374,0.99978358,1,Text,0.99971408,0.00028472,0.00000117,0.99971408,1
90,Text,Text,0,Text,0.99937695,0.00054382,0.00007926,0.99937695,1,Text,0.99987698,0.00011329,0.00000975,0.99987698,1,Text,0.99930608,0.00069345,0.00000049,0.99930608,1
91,Text,Text,0,Text,0.99920112,0.00073059,0.00006833,0.99920112,1,Text,0.99970019,0.00027559,0.00002426,0.99970019,1,Text,0.99973851,0.00026109,0.00000040,0.99973851,1
92,Text,Text,0,Text,0.99902654,0.00095558,0.00001793,0.99902654,1,Text,0.99925393,0.00071394,0.00003212,0.99925393,1,Text,0.99935740,0.00064249,0.00000011,0.99935740,1
93,Text,Text,0,Text,0.99919313,0.00075118,0.00005570,0.99919313,1,Text,0.99935812,0.00060038,0.00004147,0.99935812,1,Text,0.99869591,0.00130257,0.00000149,0.99869591,1
94,Text,Text,0,Text,0.99902344,0.00095859,0.00001793,0.99902344,1,Text,0.99922681,0.00074024,0.00003294,0.99922681,1,Text,0.99929881,0.00070109,0.00000014,0.99929881,1
95,Text,Text,0,Text,0.99920064,0.00073256,0.00006684,0.99920064,1,Text,0.99889129,0.00103075,0.00007800,0.99889129,1,Text,0.99886996,0.00112830,0.00000166,0.99886996,1
96,Text,Text,0,Text,0.99910307,0.00087803,0.00001893,0.99910307,1,Text,0.99835098,0.00159128,0.00005771,0.99835098,1,Text,0.99862754,0.00137161,0.00000084,0.99862754,1
97,Text,Text,0,Text,0.99919766,0.00074151,0.00006082,0.99919766,1,Text,0.99976271,0.00022036,0.00001690,0.99976271,1,Text,0.99871719,0.00128158,0.00000119,0.99871719,1
98,Text,Text,0,Text,0.99918050,0.00077025,0.00004927,0.99918050,1,Text,0.99925166,0.00070478,0.00004353,0.99925166,1,Text,0.99825674,0.00174237,0.00000085,0.99825674,1
99,Text,Stock,1,Text,0.74926805,0.24869442,0.00203751,0.74926805,0,Stock,0.99781263,0.99781263,0.00060863,0.00157870,1,Stock,0.99999607,0.99999607,0.00000266,0.00000126,1
100,Text,Stock,1,Text,0.67720157,0.32074660,0.00205182,0.67720157,0,Stock,0.99506819,0.99506819,0.00035800,0.00457378,1,Stock,0.99988008,0.99988008,0.00002634,0.00009359,1
101,Stock,Stock,0,Stock,0.97719258,0.97719258,0.00013913,0.02266829,1,Stock,0.99982196,0.99982196,0.00015813,0.00001996,1,Stock,0.99999988,0.99999988,0.00000009,0.00000000,1
102,Text,Stock,1,Text,0.71102571,0.28703010,0.00194419,0.71102571,0,Stock,0.98691529,0.98691529,0.00055869,0.01252600,1,Stock,0.99987459,0.99987459,0.00004042,0.00008499,1
103,Text,Stock,1,Text,0.57507581,0.42284828,0.00207596,0.57507581,0,Stock,0.99683160,0.99683160,0.00046558,0.00270287,1,Stock,0.99999857,0.99999857,0.00000117,0.00000023,1
104,Text,Stock,1,Text,0.61290604,0.38491634,0.00217765,0.61290604,0,Stock,0.99745935,0.99745935,0.00031680,0.00222391,1,Stock,0.99995780,0.99995780,0.00001620,0.00002599,1
105,Text,Text,0,Text,0.58579981,0.41320154,0.00099866,0.58579981,1,Stock,0.93297762,0.93297762,0.00220705,0.06481536,0,Stock,0.99954575,0.99954575,0.00007778,0.00037640,0
106,Stock,Stock,0,Stock,0.99975795,0.99975795,0.00000039,0.00024174,1,Stock,0.99955124,0.99955124,0.00020038,0.00024831,1,Stock,1.00000000,1.00000000,0.00000000,0.00000000,1
107,Text,Stock,1,Text,0.80192089,0.19706389,0.00101520,0.80192089,0,Stock,0.99974734,0.99974734,0.00015443,0.00009818,1,Stock,0.99999905,0.99999905,0.00000088,0.00000007,1
108,Stock,Stock,0,Stock,0.81356126,0.81356126,0.17160474,0.01483405,1,Thread,0.68735576,0.30617401,0.68735576,0.00647026,0,Stock,0.51906413,0.51906413,0.47960889,0.00132699,1
109,Stock,Stock,0,Stock,0.69458383,0.69458383,0.29537025,0.01004586,1,Thread,0.87759668,0.11783990,0.87759668,0.00456340,0,Thread,0.71562821,0.28322673,0.71562821,0.00114514,0
110,Stock,Stock,0,Stock,0.57269204,0.57269204,0.41667157,0.01063644,1,Thread,0.99475831,0.00488596,0.99475831,0.00035575,0,Thread,0.88596010,0.11317435,0.88596010,0.00086551,0
111,Stock,Stock,0,Stock,0.50567889,0.50567889,0.47842866,0.01589237,1,Thread,0.98460025,0.01420111,0.98460025,0.00119857,0,Thread,0.84898096,0.14996293,0.84898096,0.00105608,0
112,Stock,Stock,0,Stock,0.67630714,0.67630714,0.30424529,0.01944762,1,Thread,0.61872554,0.36787379,0.61872554,0.01340059,0,Stock,0.60794175,0.60794175,0.39013278,0.00192549,1
113,Thread,Thread,0,Thread,0.73983192,0.24860701,0.73983192,0.01156115,1,Thread,0.99893516,0.00103120,0.99893516,0.00003358,1,Thread,0.98456848,0.01511841,0.98456848,0.00031319,1
114,Thread,Thread,0,Thread,0.66843581,0.31800947,0.66843581,0.01355474,1,Thread,0.99932599,0.00065862,0.99932599,0.00001540,1,Thread,0.98129785,0.01834844,0.98129785,0.00035379,1
115,Thread,Thread,0,Thread,0.64436233,0.34333530,0.64436233,0.01230237,1,Thread,0.99900299,0.00096946,0.99900299,0.00002745,1,Thread,0.98663193,0.01314658,0.98663193,0.00022146,1
116,Thread,Thread,0,Thread,0.72858530,0.25911653,0.72858530,0.01229809,1,Thread,0.99893349,0.00103283,0.99893349,0.00003368,1,Thread,0.98175883,0.01788717,0.98175883,0.00035408,1
117,Thread,Thread,0,Thread,0.66789293,0.31814814,0.66789293,0.01395891,1,Thread,0.99932575,0.00065891,0.99932575,0.00001541,1,Thread,0.98128164,0.01836465,0.98128164,0.00035364,1
118,Thread,Thread,0,Thread,0.67980641,0.30769211,0.67980641,0.01250147,1,Thread,0.99671364,0.00309964,0.99671364,0.00018681,1,Thread,0.98134184,0.01830525,0.98134184,0.00035298,1
119,Thread,Thread,0,Thread,0.72858530,0.25911641,0.72858530,0.01229818,1,Thread,0.99893516,0.00103126,0.99893516,0.00003358,1,Thread,0.98456371,0.01512263,0.98456371,0.00031363,1
120,Thread,Thread,0,Thread,0.67640716,0.30951717,0.67640716,0.01407568,1,Thread,0.99932611,0.00065860,0.99932611,0.00001540,1,Thread,0.98531359,0.01443269,0.98531359,0.00025376,1
121,Thread,Thread,0,Thread,0.68037707,0.30731812,0.68037707,0.01230479,1,Thread,0.99732190,0.00254716,0.99732190,0.00013096,1,Thread,0.98158950,0.01806396,0.98158950,0.00034652,1
122,Thread,Thread,0,Thread,0.72858238,0.25911796,0.72858238,0.01229971,1,Thread,0.99893516,0.00103122,0.99893516,0.00003358,1,Thread,0.97799975,0.02157455,0.97799975,0.00042560,1
123,Thread,Thread,0,Thread,0.66865093,0.31522858,0.66865093,0.01612051,1,Thread,0.99932599,0.00065861,0.99932599,0.00001540,1,Thread,0.98296344,0.01672905,0.98296344,0.00030753,1
124,Thread,Thread,0,Thread,0.67758405,0.31019419,0.67758405,0.01222173,1,Thread,0.99906689,0.00090448,0.99906689,0.00002875,1,Thread,0.98482054,0.01492391,0.98482054,0.00025555,1
125,Thread,Thread,0,Thread,0.72858900,0.25911316,0.72858900,0.01229781,1,Thread,0.99893075,0.00103540,0.99893075,0.00003385,1,Thread,0.98149890,0.01814194,0.98149890,0.00035920,1
126,Thread,Thread,0,Thread,0.67042822,0.31344131,0.67042822,0.01613048,1,Thread,0.99932587,0.00065875,0.99932587,0.00001540,1,Thread,0.98128158,0.01836659,0.98128158,0.00035189,1
127,Thread,Thread,0,Thread,0.68041652,0.30737132,0.68041652,0.01221225,1,Thread,0.99664932,0.00315632,0.99664932,0.00019442,1,Thread,0.98131508,0.01833149,0.98131508,0.00035343,1
128,Thread,Thread,0,Thread,0.72861499,0.25909001,0.72861499,0.01229497,1,Thread,0.99892932,0.00103668,0.99892932,0.00003393,1,Thread,0.98118156,0.01845291,0.98118156,0.00036547,1
129,Thread,Thread,0,Thread,0.67647505,0.30776709,0.67647505,0.01575785,1,Thread,0.99932587,0.00065874,0.99932587,0.00001540,1,Thread,0.98128164,0.01836720,0.98128164,0.00035113,1
130,Thread,Thread,0,Thread,0.68026906,0.30761033,0.68026906,0.01212063,1,Thread,0.99665844,0.00314789,0.99665844,0.00019368,1,Thread,0.98130947,0.01833716,0.98130947,0.00035338,1
131,Thread,Thread,0,Thread,0.72861236,0.25909081,0.72861236,0.01229679,1,Thread,0.99893290,0.00103335,0.99893290,0.00003372,1,Thread,0.98176461,0.01788164,0.98176461,0.00035380,1
132,Thread,Thread,0,Thread,0.71142465,0.27421784,0.71142465,0.01435746,1,Thread,0.99932611,0.00065860,0.99932611,0.00001540,1,Thread,0.98166257,0.01799150,0.98166257,0.00034588,1
133,Thread,Thread,0,Thread,0.68004334,0.30796948,0.68004334,0.01198719,1,Thread,0.99708074,0.00276499,0.99708074,0.00015430,1,Thread,0.98134345,0.01830469,0.98134345,0.00035185,1
134,Thread,Thread,0,Thread,0.72890317,0.25881633,0.72890317,0.01228041,1,Thread,0.99893516,0.00103127,0.99893516,0.00003358,1,Thread,0.98456627,0.01512048,0.98456627,0.00031328,1
135,Thread,Thread,0,Thread,0.72823054,0.25666836,0.72823054,0.01510107,1,Thread,0.99932611,0.00065860,0.99932611,0.00001540,1,Thread,0.98786455,0.01192101,0.98786455,0.00021447,1
136,Thread,Thread,0,Thread,0.68994057,0.29775614,0.68994057,0.01230333,1,Thread,0.99901462,0.00095349,0.99901462,0.00003188,1,Thread,0.98509753,0.01464216,0.98509753,0.00026034,1
137,Thread,Thread,0,Thread,0.73439604,0.25326371,0.73439604,0.01234028,1,Thread,0.99893516,0.00103121,0.99893516,0.00003358,1,Thread,0.98456800,0.01511877,0.98456800,0.00031323,1
