face_index,reference_original_class,corrected_ground_truth,known_original_error,model_A_class,model_A_confidence,model_A_prob_stock,model_A_prob_thread,model_A_prob_text,model_A_correct,model_B_class,model_B_confidence,model_B_prob_stock,model_B_prob_thread,model_B_prob_text,model_B_correct,model_C_class,model_C_confidence,model_C_prob_stock,model_C_prob_thread,model_C_prob_text,model_C_correct,model_D_class,model_D_confidence,model_D_prob_stock,model_D_prob_thread,model_D_prob_text,model_D_correct
18,Text,Text,0,Text,0.99715221,0.00282110,0.00002671,0.99715221,1,Stock,0.92996985,0.92996985,0.00365495,0.06637518,0,Text,0.91454411,0.08539500,0.00006094,0.91454411,1,Text,0.99069172,0.00930209,0.00000615,0.99069172,1
19,Stock,Stock,0,Stock,0.90152317,0.90152317,0.00009415,0.09838276,1,Stock,0.99960428,0.99960428,0.00000139,0.00039436,1,Stock,0.99989319,0.99989319,0.00000029,0.00010660,1,Stock,0.99623495,0.99623495,0.00024575,0.00351938,1
20,Text,Text,0,Text,0.99835014,0.00150089,0.00014894,0.99835014,1,Text,0.99982554,0.00013511,0.00003942,0.99982554,1,Text,0.99985373,0.00014589,0.00000038,0.99985373,1,Text,0.99939454,0.00055028,0.00005519,0.99939454,1
21,Text,Text,0,Text,0.99832302,0.00152724,0.00014972,0.99832302,1,Text,0.99982280,0.00013718,0.00004006,0.99982280,1,Text,0.99985850,0.00014108,0.00000036,0.99985850,1,Text,0.99939454,0.00055028,0.00005519,0.99939454,1
22,Text,Text,0,Text,0.99889272,0.00099293,0.00011431,0.99889272,1,Text,0.99975413,0.00021844,0.00002743,0.99975413,1,Text,0.99995661,0.00004338,0.00000004,0.99995661,1,Text,0.99942732,0.00053803,0.00003467,0.99942732,1
23,Text,Text,0,Text,0.99895144,0.00102872,0.00001980,0.99895144,1,Text,0.99995792,0.00004163,0.00000043,0.99995792,1,Text,0.99970847,0.00029133,0.00000018,0.99970847,1,Text,0.99939728,0.00058985,0.00001291,0.99939728,1
24,Text,Text,0,Text,0.99937683,0.00054398,0.00007923,0.99937683,1,Text,0.99957091,0.00039317,0.00003597,0.99957091,1,Text,0.99932826,0.00067132,0.00000050,0.99932826,1,Text,0.99926168,0.00068330,0.00005500,0.99926168,1
25,Text,Text,0,Text,0.99934286,0.00059346,0.00006365,0.99934286,1,Text,0.99970347,0.00026811,0.00002836,0.99970347,1,Text,0.99978334,0.00021610,0.00000055,0.99978334,1,Text,0.99898332,0.00099358,0.00002310,0.99898332,1
26,Text,Text,0,Text,0.99937683,0.00054393,0.00007924,0.99937683,1,Text,0.99956173,0.00040006,0.00003817,0.99956173,1,Text,0.99936491,0.00063456,0.00000052,0.99936491,1,Text,0.99927574,0.00066929,0.00005496,0.99927574,1
27,Text,Text,0,Text,0.99934238,0.00059833,0.00005929,0.99934238,1,Text,0.99936956,0.00058539,0.00004508,0.99936956,1,Text,0.99978858,0.00021098,0.00000047,0.99978858,1,Text,0.99894863,0.00102005,0.00003140,0.99894863,1
28,Text,Text,0,Text,0.99937695,0.00054384,0.00007926,0.99937695,1,Text,0.99972516,0.00025263,0.00002223,0.99972516,1,Text,0.99921036,0.00078877,0.00000080,0.99921036,1,Text,0.99927741,0.00066751,0.00005504,0.99927741,1
29,Text,Text,0,Text,0.99933928,0.00059899,0.00006168,0.99933928,1,Text,0.99960893,0.00037155,0.00001958,0.99960893,1,Text,0.99974412,0.00025521,0.00000064,0.99974412,1,Text,0.99887127,0.00109647,0.00003228,0.99887127,1
30,Text,Text,0,Text,0.99937683,0.00054398,0.00007923,0.99937683,1,Text,0.99972516,0.00025257,0.00002222,0.99972516,1,Text,0.99922287,0.00077622,0.00000090,0.99922287,1,Text,0.99927479,0.00067015,0.00005506,0.99927479,1
31,Text,Text,0,Text,0.99933821,0.00060411,0.00005768,0.99933821,1,Text,0.99936944,0.00058546,0.00004509,0.99936944,1,Text,0.99977785,0.00022156,0.00000054,0.99977785,1,Text,0.99894911,0.00101955,0.00003140,0.99894911,1
32,Text,Text,0,Text,0.99900502,0.00096633,0.00002863,0.99900502,1,Text,0.99629116,0.00327693,0.00043194,0.99629116,1,Text,0.99977714,0.00022207,0.00000076,0.99977714,1,Text,0.99729806,0.00267464,0.00002727,0.99729806,1
33,Text,Text,0,Text,0.99655116,0.00342463,0.00002425,0.99655116,1,Text,0.99516428,0.00480809,0.00002762,0.99516428,1,Text,0.99895883,0.00104081,0.00000032,0.99895883,1,Text,0.97800171,0.02196983,0.00002850,0.97800171,1
34,Text,Text,0,Text,0.99910128,0.00077987,0.00011885,0.99910128,1,Text,0.99745053,0.00221986,0.00032953,0.99745053,1,Text,0.99797803,0.00201652,0.00000551,0.99797803,1,Text,0.99761331,0.00230784,0.00007888,0.99761331,1
35,Text,Text,0,Text,0.99902034,0.00095220,0.00002750,0.99902034,1,Text,0.99528652,0.00423647,0.00047699,0.99528652,1,Text,0.99959165,0.00040707,0.00000134,0.99959165,1,Text,0.99735045,0.00262747,0.00002207,0.99735045,1
36,Text,Text,0,Text,0.99927956,0.00060362,0.00011680,0.99927956,1,Text,0.99719256,0.00251995,0.00028750,0.99719256,1,Text,0.99676043,0.00322892,0.00001063,0.99676043,1,Text,0.99802679,0.00186856,0.00010457,0.99802679,1
37,Text,Text,0,Text,0.99901867,0.00095592,0.00002536,0.99901867,1,Text,0.99629337,0.00327489,0.00043171,0.99629337,1,Text,0.99982005,0.00017926,0.00000066,0.99982005,1,Text,0.99721670,0.00275632,0.00002692,0.99721670,1
38,Text,Text,0,Text,0.99928004,0.00060311,0.00011684,0.99928004,1,Text,0.99825090,0.00155718,0.00019192,0.99825090,1,Text,0.99958068,0.00041631,0.00000302,0.99958068,1,Text,0.99802715,0.00186828,0.00010457,0.99802715,1
39,Text,Text,0,Text,0.99925071,0.00063245,0.00011681,0.99925071,1,Text,0.99853778,0.00128418,0.00017803,0.99853778,1,Text,0.99924362,0.00075027,0.00000612,0.99924362,1,Text,0.99797338,0.00195006,0.00007661,0.99797338,1
40,Text,Text,0,Text,0.99939299,0.00052685,0.00008011,0.99939299,1,Text,0.99989438,0.00008283,0.00002278,0.99989438,1,Text,0.99877089,0.00122531,0.00000376,0.99877089,1,Text,0.99853861,0.00136326,0.00009808,0.99853861,1
41,Text,Text,0,Text,0.99893135,0.00104543,0.00002326,0.99893135,1,Text,0.99996006,0.00003928,0.00000071,0.99996006,1,Text,0.99883896,0.00116068,0.00000037,0.99883896,1,Text,0.99677187,0.00320924,0.00001890,0.99677187,1
42,Text,Text,0,Text,0.99930227,0.00067416,0.00002352,0.99930227,1,Text,0.99952173,0.00044681,0.00003146,0.99952173,1,Text,0.99927646,0.00072324,0.00000025,0.99927646,1,Text,0.99402690,0.00595122,0.00002187,0.99402690,1
43,Text,Text,0,Text,0.99902463,0.00096087,0.00001454,0.99902463,1,Text,0.99982917,0.00015579,0.00001500,0.99982917,1,Text,0.99966931,0.00032917,0.00000154,0.99966931,1,Text,0.99757165,0.00241829,0.00001001,0.99757165,1
44,Text,Text,0,Text,0.99929237,0.00066279,0.00004477,0.99929237,1,Text,0.99979573,0.00018190,0.00002239,0.99979573,1,Text,0.99892777,0.00106849,0.00000370,0.99892777,1,Text,0.99318451,0.00675112,0.00006437,0.99318451,1
45,Text,Text,0,Text,0.99942446,0.00049270,0.00008285,0.99942446,1,Text,0.99996173,0.00003157,0.00000665,0.99996173,1,Text,0.99962270,0.00037610,0.00000116,0.99962270,1,Text,0.99875200,0.00116584,0.00008213,0.99875200,1
46,Text,Text,0,Text,0.99939251,0.00052749,0.00007999,0.99939251,1,Text,0.99996328,0.00003008,0.00000669,0.99996328,1,Text,0.99921906,0.00077890,0.00000204,0.99921906,1,Text,0.99875939,0.00115461,0.00008597,0.99875939,1
47,Text,Text,0,Text,0.99938059,0.00053716,0.00008224,0.99938059,1,Text,0.99996781,0.00002624,0.00000596,0.99996781,1,Text,0.99917370,0.00082339,0.00000282,0.99917370,1,Text,0.99855059,0.00135204,0.00009737,0.99855059,1
48,Text,Text,0,Text,0.99929559,0.00060422,0.00010022,0.99929559,1,Text,0.99997365,0.00002085,0.00000548,0.99997365,1,Text,0.99953854,0.00045909,0.00000234,0.99953854,1,Text,0.99853873,0.00136318,0.00009807,0.99853873,1
49,Text,Text,0,Text,0.99930549,0.00065988,0.00003458,0.99930549,1,Text,0.99978763,0.00019543,0.00001698,0.99978763,1,Text,0.99982244,0.00017739,0.00000018,0.99982244,1,Text,0.99450135,0.00546021,0.00003843,0.99450135,1
50,Text,Text,0,Text,0.99903512,0.00095044,0.00001449,0.99903512,1,Text,0.99985468,0.00013029,0.00001505,0.99985468,1,Text,0.99975985,0.00023929,0.00000086,0.99975985,1,Text,0.99768591,0.00230379,0.00001029,0.99768591,1
51,Text,Text,0,Text,0.99931109,0.00064416,0.00004476,0.99931109,1,Text,0.99957579,0.00038218,0.00004198,0.99957579,1,Text,0.99770242,0.00228851,0.00000908,0.99770242,1,Text,0.99399215,0.00593996,0.00006791,0.99399215,1
52,Text,Text,0,Text,0.99937540,0.00054102,0.00008359,0.99937540,1,Text,0.99974781,0.00016511,0.00008708,0.99974781,1,Text,0.99856681,0.00141222,0.00002103,0.99856681,1,Text,0.99864668,0.00126367,0.00008972,0.99864668,1
53,Text,Text,0,Text,0.99939167,0.00052821,0.00008016,0.99939167,1,Text,0.99986398,0.00009991,0.00003605,0.99986398,1,Text,0.99903929,0.00095241,0.00000837,0.99903929,1,Text,0.99875998,0.00115409,0.00008594,0.99875998,1
54,Text,Text,0,Text,0.99695754,0.00300929,0.00003320,0.99695754,1,Text,0.99996507,0.00003439,0.00000052,0.99996507,1,Text,0.99954361,0.00045621,0.00000017,0.99954361,1,Text,0.99025679,0.00971391,0.00002923,0.99025679,1
55,Text,Text,0,Text,0.99877590,0.00114708,0.00007703,0.99877590,1,Text,0.99944502,0.00047528,0.00007963,0.99944502,1,Text,0.99744898,0.00254805,0.00000298,0.99744898,1,Text,0.98302037,0.01683854,0.00014106,0.98302037,1
56,Text,Text,0,Text,0.99857116,0.00140135,0.00002742,0.99857116,1,Text,0.99986768,0.00011651,0.00001577,0.99986768,1,Text,0.99989223,0.00010754,0.00000024,0.99989223,1,Text,0.99553925,0.00442911,0.00003166,0.99553925,1
57,Text,Text,0,Text,0.99921513,0.00067148,0.00011335,0.99921513,1,Text,0.99976641,0.00020333,0.00003027,0.99976641,1,Text,0.99930763,0.00069015,0.00000218,0.99930763,1,Text,0.99802691,0.00186846,0.00010458,0.99802691,1
58,Text,Text,0,Text,0.99867368,0.00130369,0.00002269,0.99867368,1,Text,0.99921799,0.00072978,0.00005222,0.99921799,1,Text,0.99989617,0.00010367,0.00000016,0.99989617,1,Text,0.99540234,0.00456571,0.00003197,0.99540234,1
59,Text,Text,0,Text,0.99834788,0.00163505,0.00001704,0.99834788,1,Text,0.99932241,0.00065034,0.00002722,0.99932241,1,Text,0.99805379,0.00194486,0.00000142,0.99805379,1,Text,0.99207264,0.00791887,0.00000848,0.99207264,1
60,Text,Text,0,Text,0.99857581,0.00140449,0.00001974,0.99857581,1,Text,0.99949551,0.00045093,0.00005349,0.99949551,1,Text,0.99991345,0.00008637,0.00000016,0.99991345,1,Text,0.99609143,0.00388072,0.00002786,0.99609143,1
61,Text,Text,0,Text,0.99921513,0.00067148,0.00011335,0.99921513,1,Text,0.99972945,0.00022186,0.00004865,0.99972945,1,Text,0.99935573,0.00064281,0.00000140,0.99935573,1,Text,0.99802691,0.00186844,0.00010458,0.99802691,1
62,Text,Text,0,Text,0.99857163,0.00140091,0.00002739,0.99857163,1,Text,0.99990594,0.00008173,0.00001235,0.99990594,1,Text,0.99991333,0.00008647,0.00000016,0.99991333,1,Text,0.99608994,0.00388062,0.00002946,0.99608994,1
63,Text,Text,0,Text,0.99943060,0.00048973,0.00007963,0.99943060,1,Text,0.99968565,0.00026965,0.00004473,0.99968565,1,Text,0.99929821,0.00070023,0.00000159,0.99929821,1,Text,0.99890208,0.00104635,0.00005150,0.99890208,1
64,Text,Text,0,Text,0.99902868,0.00094405,0.00002728,0.99902868,1,Text,0.99997485,0.00002477,0.00000041,0.99997485,1,Text,0.99951530,0.00048441,0.00000031,0.99951530,1,Text,0.99784303,0.00213023,0.00002670,0.99784303,1
65,Text,Text,0,Text,0.99923503,0.00074715,0.00001780,0.99923503,1,Text,0.99950814,0.00045041,0.00004150,0.99950814,1,Text,0.99985838,0.00014150,0.00000015,0.99985838,1,Text,0.99856347,0.00141899,0.00001754,0.99856347,1
66,Text,Text,0,Text,0.99943596,0.00048346,0.00008054,0.99943596,1,Text,0.99984980,0.00013273,0.00001749,0.99984980,1,Text,0.99975818,0.00024121,0.00000064,0.99975818,1,Text,0.99917358,0.00078161,0.00004476,0.99917358,1
67,Text,Text,0,Text,0.99943334,0.00048695,0.00007966,0.99943334,1,Text,0.99983180,0.00015390,0.00001430,0.99983180,1,Text,0.99980348,0.00019560,0.00000094,0.99980348,1,Text,0.99919647,0.00076095,0.00004263,0.99919647,1
68,Text,Text,0,Text,0.99938285,0.00059496,0.00002222,0.99938285,1,Text,0.99976116,0.00021085,0.00002800,0.99976116,1,Text,0.99990916,0.00009062,0.00000021,0.99990916,1,Text,0.99894947,0.00101913,0.00003141,0.99894947,1
69,Text,Text,0,Text,0.99944156,0.00047509,0.00008335,0.99944156,1,Text,0.99985325,0.00012862,0.00001808,0.99985325,1,Text,0.99977952,0.00021957,0.00000086,0.99977952,1,Text,0.99919862,0.00075901,0.00004244,0.99919862,1
70,Text,Text,0,Text,0.99943334,0.00048698,0.00007965,0.99943334,1,Text,0.99983799,0.00014396,0.00001804,0.99983799,1,Text,0.99979335,0.00020597,0.00000071,0.99979335,1,Text,0.99906617,0.00087899,0.00005483,0.99906617,1
71,Text,Text,0,Text,0.99927872,0.00070009,0.00002122,0.99927872,1,Text,0.99974960,0.00022166,0.00002876,0.99974960,1,Text,0.99991345,0.00008638,0.00000016,0.99991345,1,Text,0.99894947,0.00101919,0.00003141,0.99894947,1
72,Text,Text,0,Text,0.99943084,0.00048948,0.00007963,0.99943084,1,Text,0.99962997,0.00030252,0.00006746,0.99962997,1,Text,0.99964738,0.00035189,0.00000077,0.99964738,1,Text,0.99891877,0.00103089,0.00005035,0.99891877,1
73,Text,Text,0,Text,0.99935395,0.00062357,0.00002252,0.99935395,1,Text,0.99979502,0.00017715,0.00002787,0.99979502,1,Text,0.99991333,0.00008649,0.00000016,0.99991333,1,Text,0.99894947,0.00101913,0.00003141,0.99894947,1
74,Text,Text,0,Text,0.99943858,0.00047958,0.00008180,0.99943858,1,Text,0.99987090,0.00010985,0.00001921,0.99987090,1,Text,0.99982411,0.00017511,0.00000078,0.99982411,1,Text,0.99918729,0.00076725,0.00004548,0.99918729,1
75,Text,Text,0,Text,0.99943334,0.00048695,0.00007965,0.99943334,1,Text,0.99986553,0.00011537,0.00001903,0.99986553,1,Text,0.99981886,0.00018023,0.00000092,0.99981886,1,Text,0.99919695,0.00076050,0.00004258,0.99919695,1
76,Text,Text,0,Text,0.99920636,0.00077436,0.00001929,0.99920636,1,Text,0.99970740,0.00025907,0.00003355,0.99970740,1,Text,0.99986804,0.00013176,0.00000015,0.99986804,1,Text,0.99895215,0.00102806,0.00001979,0.99895215,1
77,Text,Text,0,Text,0.99831933,0.00166833,0.00001236,0.99831933,1,Text,0.98190618,0.01287461,0.00521926,0.98190618,1,Text,0.99259275,0.00739817,0.00000909,0.99259275,1,Text,0.98788667,0.01210431,0.00000897,0.98788667,1
78,Text,Text,0,Text,0.96511471,0.03474861,0.00013670,0.96511471,1,Text,0.90065974,0.09916393,0.00017627,0.90065974,1,Text,0.99476755,0.00523034,0.00000214,0.99476755,1,Text,0.88449425,0.11528657,0.00021922,0.88449425,1
79,Text,Text,0,Text,0.99928051,0.00060283,0.00011666,0.99928051,1,Text,0.97452962,0.01510537,0.01036502,0.97452962,1,Text,0.98559988,0.01435654,0.00004362,0.98559988,1,Text,0.99754852,0.00237785,0.00007362,0.99754852,1
80,Text,Text,0,Text,0.99762017,0.00235339,0.00002637,0.99762017,1,Text,0.96734983,0.01582654,0.01682367,0.96734983,1,Text,0.99371934,0.00627587,0.00000481,0.99371934,1,Text,0.98855585,0.01143598,0.00000814,0.98855585,1
81,Text,Text,0,Text,0.99745959,0.00249638,0.00004410,0.99745959,1,Text,0.96230280,0.03651199,0.00118527,0.96230280,1,Text,0.98958349,0.01041326,0.00000327,0.98958349,1,Text,0.98652309,0.01346732,0.00000955,0.98652309,1
82,Text,Text,0,Text,0.99753165,0.00244594,0.00002234,0.99753165,1,Text,0.93229610,0.06512859,0.00257538,0.93229610,1,Text,0.99350727,0.00648721,0.00000555,0.99350727,1,Text,0.98629159,0.01369908,0.00000941,0.98629159,1
83,Text,Text,0,Text,0.99710733,0.00282896,0.00006378,0.99710733,1,Text,0.93695104,0.05880857,0.00424041,0.93695104,1,Text,0.98674482,0.01324960,0.00000556,0.98674482,1,Text,0.96374851,0.03621854,0.00003298,0.96374851,1
84,Text,Text,0,Text,0.99882072,0.00109013,0.00008916,0.99882072,1,Text,0.99994004,0.00005607,0.00000390,0.99994004,1,Text,0.99990129,0.00009862,0.00000004,0.99990129,1,Text,0.99848133,0.00149516,0.00002347,0.99848133,1
85,Stock,Stock,0,Stock,0.99908948,0.99908948,0.00000060,0.00090991,1,Stock,0.99989057,0.99989057,0.00000002,0.00010948,1,Stock,0.99997008,0.99997008,0.00000000,0.00002996,1,Stock,0.99960989,0.99960989,0.00002984,0.00036031,1
86,Text,Text,0,Text,0.99908650,0.00082267,0.00009082,0.99908650,1,Text,0.99987185,0.00011193,0.00001617,0.99987185,1,Text,0.99994886,0.00005105,0.00000002,0.99994886,1,Text,0.99936348,0.00060507,0.00003146,0.99936348,1
87,Text,Text,0,Text,0.99916828,0.00067648,0.00015524,0.99916828,1,Text,0.99994111,0.00005243,0.00000644,0.99994111,1,Text,0.99993169,0.00006824,0.00000010,0.99993169,1,Text,0.99939454,0.00055028,0.00005519,0.99939454,1
88,Text,Text,0,Text,0.99919528,0.00077706,0.00002765,0.99919528,1,Text,0.99995232,0.00004700,0.00000073,0.99995232,1,Text,0.99870276,0.00129688,0.00000032,0.99870276,1,Text,0.99939811,0.00058900,0.00001291,0.99939811,1
89,Text,Text,0,Text,0.99920183,0.00072969,0.00006847,0.99920183,1,Text,0.99978358,0.00019270,0.00002374,0.99978358,1,Text,0.99971408,0.00028472,0.00000117,0.99971408,1,Text,0.99867308,0.00128388,0.00004306,0.99867308,1
90,Text,Text,0,Text,0.99937695,0.00054382,0.00007926,0.99937695,1,Text,0.99987698,0.00011329,0.00000975,0.99987698,1,Text,0.99930608,0.00069345,0.00000049,0.99930608,1,Text,0.99928004,0.00066495,0.00005506,0.99928004,1
91,Text,Text,0,Text,0.99920112,0.00073059,0.00006833,0.99920112,1,Text,0.99970019,0.00027559,0.00002426,0.99970019,1,Text,0.99973851,0.00026109,0.00000040,0.99973851,1,Text,0.99897039,0.00100267,0.00002700,0.99897039,1
92,Text,Text,0,Text,0.99902654,0.00095558,0.00001793,0.99902654,1,Text,0.99925393,0.00071394,0.00003212,0.99925393,1,Text,0.99935740,0.00064249,0.00000011,0.99935740,1,Text,0.99806291,0.00192884,0.00000824,0.99806291,1
93,Text,Text,0,Text,0.99919313,0.00075118,0.00005570,0.99919313,1,Text,0.99935812,0.00060038,0.00004147,0.99935812,1,Text,0.99869591,0.00130257,0.00000149,0.99869591,1,Text,0.99895751,0.00101556,0.00002696,0.99895751,1
94,Text,Text,0,Text,0.99902344,0.00095859,0.00001793,0.99902344,1,Text,0.99922681,0.00074024,0.00003294,0.99922681,1,Text,0.99929881,0.00070109,0.00000014,0.99929881,1,Text,0.99806601,0.00192574,0.00000831,0.99806601,1
95,Text,Text,0,Text,0.99920064,0.00073256,0.00006684,0.99920064,1,Text,0.99889129,0.00103075,0.00007800,0.99889129,1,Text,0.99886996,0.00112830,0.00000166,0.99886996,1,Text,0.99897015,0.00100283,0.00002700,0.99897015,1
96,Text,Text,0,Text,0.99910307,0.00087803,0.00001893,0.99910307,1,Text,0.99835098,0.00159128,0.00005771,0.99835098,1,Text,0.99862754,0.00137161,0.00000084,0.99862754,1,Text,0.99766219,0.00231105,0.00002677,0.99766219,1
97,Text,Text,0,Text,0.99919766,0.00074151,0.00006082,0.99919766,1,Text,0.99976271,0.00022036,0.00001690,0.99976271,1,Text,0.99871719,0.00128158,0.00000119,0.99871719,1,Text,0.99865025,0.00132387,0.00002588,0.99865025,1
98,Text,Text,0,Text,0.99918050,0.00077025,0.00004927,0.99918050,1,Text,0.99925166,0.00070478,0.00004353,0.99925166,1,Text,0.99825674,0.00174237,0.00000085,0.99825674,1,Text,0.99814284,0.00183751,0.00001961,0.99814284,1
99,Text,Stock,1,Text,0.74926805,0.24869442,0.00203751,0.74926805,0,Stock,0.99781263,0.99781263,0.00060863,0.00157870,1,Stock,0.99999607,0.99999607,0.00000266,0.00000126,1,Stock,0.95674747,0.95674747,0.00178034,0.04147217,1
100,Text,Stock,1,Text,0.67720157,0.32074660,0.00205182,0.67720157,0,Stock,0.99506819,0.99506819,0.00035800,0.00457378,1,Stock,0.99988008,0.99988008,0.00002634,0.00009359,1,Stock,0.78440535,0.78440535,0.00125489,0.21433975,1
101,Stock,Stock,0,Stock,0.97719258,0.97719258,0.00013913,0.02266829,1,Stock,0.99982196,0.99982196,0.00015813,0.00001996,1,Stock,0.99999988,0.99999988,0.00000009,0.00000000,1,Stock,0.99966383,0.99966383,0.00000188,0.00033423,1
102,Text,Stock,1,Text,0.71102571,0.28703010,0.00194419,0.71102571,0,Stock,0.98691529,0.98691529,0.00055869,0.01252600,1,Stock,0.99987459,0.99987459,0.00004042,0.00008499,1,Stock,0.98109871,0.98109871,0.00067882,0.01822244,1
103,Text,Stock,1,Text,0.57507581,0.42284828,0.00207596,0.57507581,0,Stock,0.99683160,0.99683160,0.00046558,0.00270287,1,Stock,0.99999857,0.99999857,0.00000117,0.00000023,1,Stock,0.97502500,0.97502500,0.00147078,0.02350424,1
104,Text,Stock,1,Text,0.61290604,0.38491634,0.00217765,0.61290604,0,Stock,0.99745935,0.99745935,0.00031680,0.00222391,1,Stock,0.99995780,0.99995780,0.00001620,0.00002599,1,Stock,0.96572745,0.96572745,0.00244143,0.03183110,1
105,Text,Text,0,Text,0.58579981,0.41320154,0.00099866,0.58579981,1,Stock,0.93297762,0.93297762,0.00220705,0.06481536,0,Stock,0.99954575,0.99954575,0.00007778,0.00037640,0,Stock,0.50324577,0.50324577,0.00114916,0.49560508,0
106,Stock,Stock,0,Stock,0.99975795,0.99975795,0.00000039,0.00024174,1,Stock,0.99955124,0.99955124,0.00020038,0.00024831,1,Stock,1.00000000,1.00000000,0.00000000,0.00000000,1,Stock,0.99920231,0.99920231,0.00001434,0.00078347,1
