face_index,predicted_class,predicted_class_name,predicted_probability
212,1,thread,0.9454782009
213,1,thread,0.9329314828
214,1,thread,0.9482178092
215,1,thread,0.9456020594
216,1,thread,0.9330409169
217,1,thread,0.9504479766
218,1,thread,0.9456532598
219,1,thread,0.933354497
220,1,thread,0.9528864026
221,1,thread,0.9456791878
222,1,thread,0.9338300228
223,1,thread,0.954803884
224,1,thread,0.9457055926
225,1,thread,0.9341865778
226,1,thread,0.9561524987
227,1,thread,0.9457474947
228,1,thread,0.9344164729
229,1,thread,0.9573639035
230,1,thread,0.945840776
231,1,thread,0.934756875
232,1,thread,0.9583369493
233,1,thread,0.9509856105
234,1,thread,0.9418861866
235,1,thread,0.9567316771
236,1,thread,0.9466794133
237,1,thread,0.9378994703
238,1,thread,0.9630539417
239,1,thread,0.9585532546
240,1,thread,0.9447985291
241,1,thread,0.9609978795
242,1,thread,0.9495324492
243,1,thread,0.9471133947
244,1,thread,0.9635993242
245,1,thread,0.9687846303
246,1,thread,0.9395518303
247,1,thread,0.9670271873
248,1,thread,0.946434021
249,1,thread,0.9504013062
250,1,thread,0.9415530562
251,1,thread,0.9455330968
252,1,thread,0.9328653812
253,1,thread,0.9417587519
254,1,thread,0.9455145597
255,1,thread,0.9328709841
256,1,thread,0.9459770322
257,1,thread,0.9454807043
258,1,thread,0.9328737855
259,1,thread,0.94081074
260,1,thread,0.9454671144
261,1,thread,0.9328612089
262,1,thread,0.9408365488
263,1,thread,0.9457172155
264,1,thread,0.9328670502
265,1,thread,0.9409043193
266,1,thread,0.9584234953
267,1,thread,0.9361985922
268,1,thread,0.9408985376
269,1,thread,0.8521752954
270,1,thread,0.8591310978
271,0,stock,0.8160421848
272,0,stock,0.7795866132
273,1,thread,0.5307179689
274,0,stock,0.6690110564
275,1,thread,0.9615547657
276,1,thread,0.9593892694
277,1,thread,0.9595891237
278,1,thread,0.9561590552
279,1,thread,0.9593891501
280,1,thread,0.9593895078
281,1,thread,0.957172811
282,1,thread,0.9593892097
283,1,thread,0.9593896866
284,1,thread,0.9631437659
285,1,thread,0.9673778415
286,1,thread,0.9593949914
287,1,thread,0.9641393423
288,1,thread,0.9593912363
289,1,thread,0.9595308304
290,1,thread,0.9711344838
291,1,thread,0.9715620279
292,1,thread,0.959487021
293,1,thread,0.9752807021
294,1,thread,0.9718957543
295,1,thread,0.9719030261
296,1,thread,0.9676606059
297,1,thread,0.9556024671
298,1,thread,0.9709300399
299,1,thread,0.9678566456
300,1,thread,0.9760937095
301,1,thread,0.9779798985
302,1,thread,0.9661095142
303,1,thread,0.9745702147
304,1,thread,0.9774353504
305,1,thread,0.971190691
306,1,thread,0.9757111073
307,1,thread,0.9804971218
308,1,thread,0.9658355117
309,1,thread,0.9746767879
310,1,thread,0.9765540957
311,1,thread,0.9660837054
312,1,thread,0.9774633646
313,1,thread,0.9768678546
314,1,thread,0.9637119174
315,1,thread,0.9699165225
316,1,thread,0.9758473039
317,1,thread,0.9635722041
318,1,thread,0.969397366
319,1,thread,0.9682241678
320,1,thread,0.9631589055
321,1,thread,0.9700655341
322,1,thread,0.9683049917
323,1,thread,0.9632701278
324,1,thread,0.9717436433
325,1,thread,0.9685720801
326,1,thread,0.9668445587
327,1,thread,0.97819978
328,1,thread,0.969715178
329,1,thread,0.9729396701
330,1,thread,0.9811092615
331,1,thread,0.9798576236
332,1,thread,0.9764764905
333,1,thread,0.9817596078
334,1,thread,0.9805669785
335,1,thread,0.9785642624
336,1,thread,0.9823773503
337,1,thread,0.9814814329
338,1,thread,0.979809761
339,1,thread,0.9815151095
340,1,thread,0.9814830422
341,1,thread,0.9805132747
342,1,thread,0.9891167283
343,1,thread,0.9814830422
344,1,thread,0.9805948138
345,1,thread,0.9792119265
346,1,thread,0.9887331128
347,1,thread,0.978202343
348,1,thread,0.9792958498
349,1,thread,0.9813199043
350,1,thread,0.9795260429
351,1,thread,0.9650062323
352,1,thread,0.9739196301
353,1,thread,0.5931246281
354,0,stock,0.7219503522
355,1,thread,0.6356688738
356,1,thread,0.9146491885
357,1,thread,0.9340804815
358,0,stock,0.6370325685
359,1,thread,0.5022563338
360,0,stock,0.6314278245
361,0,stock,0.69523561
362,1,thread,0.939807713
363,1,thread,0.9331552386
364,1,thread,0.7353531718
365,0,stock,0.9999994636
366,0,stock,0.8717956543
367,0,stock,0.963580668
368,0,stock,0.9925806522
369,0,stock,0.9711016417
370,0,stock,0.9996502995
371,0,stock,0.9971851707
372,0,stock,0.9992119074
373,0,stock,0.9498121738
374,0,stock,0.9944931269
375,0,stock,0.749030292
376,0,stock,0.9985871315
377,0,stock,0.9996351004
378,0,stock,0.9699190855
379,0,stock,0.9956927299
380,0,stock,1
381,0,stock,1
382,0,stock,1
383,0,stock,1
384,0,stock,1
385,0,stock,1
386,0,stock,1
387,0,stock,1
388,0,stock,1
389,0,stock,1
390,0,stock,1
391,0,stock,1
392,0,stock,1
393,0,stock,1
394,0,stock,1
395,0,stock,1
396,0,stock,1
397,0,stock,1
398,0,stock,1
399,0,stock,1
400,0,stock,1
401,0,stock,0.9999998808
402,0,stock,1
403,0,stock,1
404,0,stock,1
405,0,stock,1
406,0,stock,1
407,0,stock,1
408,0,stock,1
409,0,stock,1
410,0,stock,1
411,0,stock,1
412,0,stock,1
413,0,stock,1
414,0,stock,1
415,0,stock,1
416,0,stock,1
417,0,stock,1
418,0,stock,1
419,0,stock,1
420,0,stock,1
421,0,stock,1
422,0,stock,1
423,0,stock,1
424,0,stock,1
425,0,stock,1
426,0,stock,0.9999959469
427,0,stock,0.9999970794
428,0,stock,0.9999983311
429,0,stock,0.9999919534
430,0,stock,0.9999927282
431,0,stock,0.9999928474
432,0,stock,0.9999806881
433,0,stock,1
434,0,stock,1
435,0,stock,1
436,0,stock,0.999999404
437,0,stock,0.9999986887
438,0,stock,0.9999985695
439,0,stock,0.9999933243
440,0,stock,0.9999909401
441,0,stock,0.999987781
442,0,stock,0.9999905825
443,0,stock,0.9999843836
444,0,stock,0.9999905825
445,0,stock,1
446,0,stock,0.9999792576
447,0,stock,0.999979198
448,0,stock,0.9999798536
449,0,stock,1
450,0,stock,0.9999833703
451,0,stock,0.9999988079
452,0,stock,0.9999989271
453,0,stock,0.999879837
454,0,stock,0.9999451637
455,0,stock,0.999879837
456,0,stock,0.999879837
457,0,stock,0.999879837
458,0,stock,0.999879837
459,0,stock,0.9999653101
460,0,stock,0.9994366169
461,0,stock,0.9995433092
462,0,stock,0.6092988849
463,0,stock,0.9997470975
464,0,stock,0.9997192621
465,1,thread,0.5906244516
466,0,stock,0.999501884
467,0,stock,0.9998466969
468,1,thread,0.5990045667
469,0,stock,0.6854326129
470,0,stock,0.9997426271
471,0,stock,0.9997541308
472,0,stock,0.999946177
473,1,thread,0.7126758695
474,0,stock,0.6148434281
475,0,stock,0.999917686
476,0,stock,0.999569118
477,0,stock,0.9985346794
478,0,stock,0.9996429682
479,0,stock,0.998627305
480,0,stock,0.9999237061
481,0,stock,0.9999991655
482,0,stock,1
483,0,stock,1
484,0,stock,1
485,0,stock,1
486,0,stock,1
487,0,stock,1
488,0,stock,1
489,0,stock,1
490,0,stock,1
491,0,stock,1
492,0,stock,1
493,0,stock,1
494,0,stock,1
495,0,stock,1
496,0,stock,1
497,0,stock,0.9980010986
498,0,stock,0.999976635
499,0,stock,0.9999463558
500,0,stock,0.9982854724
501,0,stock,0.9999759197
